Ethnocultural_Key,Ethnoculture
ETH640,"Yugoslavian, n.o.s."
ETH641,"Southern European origins, n.i.e."
ETH642,Other European origins
ETH643,Basque
ETH644,Jewish
ETH645,Roma (Gypsy)
ETH646,"Slavic, n.o.s."
ETH647,"Other European origins, n.i.e."
ETH648,Caribbean origins
ETH649,Antiguan
ETH650,Bahamian
ETH651,Barbadian
ETH652,Bermudan
ETH653,Carib
ETH654,Cuban
ETH655,Dominican
ETH656,Grenadian
ETH657,Guadeloupean
ETH658,Haitian
ETH659,Jamaican
ETH660,Kittitian/Nevisian
ETH661,Martinican
ETH662,Montserratan
ETH663,Puerto Rican
ETH664,St. Lucian
ETH665,Trinidadian/Tobagonian
ETH666,Vincentian/Grenadinian
ETH667,"West Indian, n.o.s."
ETH668,"Caribbean origins, n.i.e."
ETH669,"Latin, Central and South American origins"
ETH670,Aboriginal from Central/South America (except Arawak and Maya)
ETH671,Arawak
ETH672,Argentinian
ETH673,Belizean
ETH674,Bolivian
ETH675,Brazilian
ETH676,Chilean
ETH677,Colombian
ETH678,Costa Rican
ETH679,Ecuadorian
ETH680,Guatemalan
ETH681,Guyanese
ETH682,Hispanic
ETH683,Honduran
ETH684,Maya
ETH685,Mexican
ETH686,Nicaraguan
ETH687,Panamanian
ETH688,Paraguayan
ETH689,Peruvian
ETH690,Salvadorean
ETH691,Uruguayan
ETH692,Venezuelan
ETH693,"Latin, Central and South American origins, n.i.e."
ETH694,African origins
ETH695,Central and West African origins
ETH696,Akan
ETH697,Angolan
ETH698,Ashanti
ETH699,Beninese
ETH700,Burkinabe
ETH701,Cameroonian
ETH702,Chadian
ETH703,Congolese
ETH704,Edo
ETH705,Ewe
ETH706,Gabonese
ETH707,Gambian
ETH708,Ghanaian
ETH709,Guinean
ETH710,Ibo
ETH711,Ivorian
ETH712,Liberian
ETH713,Malian
ETH714,Malinké
ETH715,Nigerian
ETH716,Peulh
ETH717,Senegalese
ETH718,Sierra Leonean
ETH719,Togolese
ETH720,Wolof
ETH721,Yoruba
ETH722,"Central and West African origins, n.i.e."
ETH723,North African origins
ETH724,Algerian
ETH725,Berber
ETH726,Coptic
ETH727,Dinka
ETH728,Egyptian
ETH729,Libyan
ETH730,Maure
ETH731,Moroccan
ETH732,Sudanese
ETH733,Tunisian
ETH734,"North African origins, n.i.e."
ETH735,Southern and East African origins
ETH736,Afrikaner
ETH737,Amhara
ETH738,"Bantu, n.o.s."
ETH739,Burundian
ETH740,Djiboutian
ETH741,Eritrean
ETH742,Ethiopian
ETH743,Harari
ETH744,Kenyan
ETH745,Malagasy
ETH746,Mauritian
ETH747,Oromo
ETH748,Rwandan
ETH749,Seychellois
ETH750,Somali
ETH751,South African
ETH752,Tanzanian
ETH753,Tigrian
ETH754,Ugandan
ETH755,Zambian
ETH756,Zimbabwean
ETH757,Zulu
ETH758,"Southern and East African origins, n.i.e."
ETH759,Other African origins
ETH760,"Black, n.o.s."
ETH761,"Other African origins, n.i.e."
ETH762,Asian origins
ETH763,West Central Asian and Middle Eastern origins
ETH764,Afghan
ETH765,"Arab, n.o.s."
ETH766,Armenian
ETH767,Assyrian
ETH768,Azerbaijani
ETH769,Georgian
ETH770,Hazara
ETH771,Iranian
ETH772,Iraqi
ETH773,Israeli
ETH774,Jordanian
ETH775,Kazakh
ETH776,Kurd
ETH777,Kuwaiti
ETH778,Kyrgyz
ETH779,Lebanese
ETH780,Palestinian
ETH781,Pashtun
ETH782,Saudi Arabian
ETH783,Syrian
ETH784,Tajik
ETH785,Tatar
ETH786,Turk
ETH787,Turkmen
ETH788,Uighur
ETH789,Uzbek
ETH790,Yemeni
ETH791,"West Central Asian and Middle Eastern origins, n.i.e."
ETH792,South Asian origins
ETH793,Bangladeshi
ETH794,Bengali
ETH795,Bhutanese
ETH796,East Indian
ETH797,Goan
ETH798,Gujarati
ETH799,Kashmiri
ETH800,Nepali
ETH801,Pakistani
ETH802,Punjabi
ETH803,Sinhalese
ETH804,Sri Lankan
ETH805,Tamil
ETH806,"South Asian origins, n.i.e."
ETH807,East and Southeast Asian origins
ETH808,Burmese
ETH809,Cambodian (Khmer)
ETH810,Chinese
ETH811,Filipino
ETH812,Hmong
ETH813,Indonesian
ETH814,Japanese
ETH815,Karen
ETH816,Korean
ETH817,Laotian
ETH818,Malaysian
ETH819,Mongolian
ETH820,Singaporean
ETH821,Taiwanese
ETH822,Thai
ETH823,Tibetan
ETH824,Vietnamese
ETH825,"East and Southeast Asian origins, n.i.e."
ETH826,Other Asian origins
ETH827,"Other Asian origins, n.i.e."
ETH828,Oceania origins
ETH829,Australian
ETH830,New Zealander
ETH831,Pacific Islands origins
ETH832,Fijian
ETH833,Hawaiian
ETH834,Maori
ETH835,Samoan
ETH836,"Polynesian, n.o.s."
ETH837,"Pacific Islands origins, n.i.e."
ETH838,Total Ethnic Origin
ETH839,North American Aboriginal origins
ETH840,First Nations (North American Indian)
ETH841,Inuit
ETH842,Métis
ETH843,Other North American origins
ETH844,Acadian
ETH845,American
ETH846,Canadian
ETH847,New Brunswicker
ETH848,Newfoundlander
ETH849,Nova Scotian
ETH850,Ontarian
ETH851,Québécois
ETH852,"Other North American origins, n.i.e."
ETH853,European origins
ETH854,British Isles origins
ETH855,Channel Islander
ETH856,Cornish
ETH857,English
ETH858,Irish
ETH859,Manx
ETH860,Scottish
ETH861,Welsh
ETH862,"British Isles origins, n.i.e."
ETH863,French origins
ETH864,Alsatian
ETH865,Breton
ETH866,Corsican
ETH867,French
ETH868,Western European origins (except French origins)
ETH869,Austrian
ETH870,Bavarian
ETH871,Belgian
ETH872,Dutch
ETH873,Flemish
ETH874,Frisian
ETH875,German
ETH876,Luxembourger
ETH877,Swiss
ETH878,"Western European origins, n.i.e."
ETH879,Northern European origins (except British Isles origins)
ETH880,Danish
