Permit_Key,Ward_ID,Est_Const_Cost,Application_Date_Key,Issued_Date_Key,Completed_Date_Key,Application_to_Issuance_Duration,Avg_App_to_Issuance_Duration_by_Year,Avg_Est_Const_Cost_by_Ward,Avg_Est_Const_Cost_by_Year
287,19,1000000,5742,5757,6199,15,104.75,6721340.5708154505,3369660.19
288,21,1537676,5743,5773,6158,30,104.75,17091199.984,3369660.19
289,2,750000,5751,5763,6189,12,104.75,2989003.2716499544,3369660.19
290,16,570000,5751,5857,6259,106,104.75,2465023.1840707962,3369660.19
291,2,665000,5758,5779,6101,21,104.75,2989003.2716499544,3369660.19
292,16,600000,5762,5806,6212,44,104.75,2465023.1840707962,3369660.19
293,11,522890,5762,5806,6246,44,104.75,1820371.57,3369660.19
294,2,600000,5764,5784,6267,20,104.75,2989003.2716499544,3369660.19
295,2,570000,5769,5814,6254,45,104.75,2989003.2716499544,3369660.19
296,3,1500000,5769,5801,5967,32,104.75,9246769.549865229,3369660.19
297,11,1500000,5771,5785,6191,14,104.75,1820371.57,3369660.19
298,12,1000000,5772,5792,6227,20,104.75,7658937.101338432,3369660.19
299,21,2000000,5773,5897,6252,124,104.75,17091199.984,3369660.19
300,15,900000,5778,5828,6172,50,104.75,4522577.48037889,3369660.19
301,2,600000,5778,5807,6213,29,104.75,2989003.2716499544,3369660.19
302,24,519380,5779,5804,6063,25,104.75,23456062.532786883,3369660.19
303,24,519380,5779,5800,6063,21,104.75,23456062.532786883,3369660.19
304,2,700000,5779,5805,6164,26,104.75,2989003.2716499544,3369660.19
305,2,700000,5790,5814,6273,24,104.75,2989003.2716499544,3369660.19
306,3,550000,5806,5835,5981,29,104.75,9246769.549865229,3369660.19
307,1,673200,5811,5856,6192,45,104.75,3325419.7044334975,3369660.19
308,3,1000000,5812,5822,6252,10,104.75,9246769.549865229,3369660.19
309,12,700000,5813,5826,6287,13,104.75,7658937.101338432,3369660.19
310,17,851508,5825,5920,6266,95,104.75,1614143.0049603174,3369660.19
311,11,730000,5826,5855,6287,29,104.75,1820371.57,3369660.19
312,2,660000,5827,5841,6274,14,104.75,2989003.2716499544,3369660.19
313,2,655000,5828,5882,6144,54,104.75,2989003.2716499544,3369660.19
314,17,575000,5841,5878,6255,37,104.75,1614143.0049603174,3369660.19
315,21,1500000,5843,5881,6066,38,104.75,17091199.984,3369660.19
316,24,3000000,5850,5919,6156,69,104.75,23456062.532786883,3369660.19
317,2,723340,5854,5863,6235,9,104.75,2989003.2716499544,3369660.19
318,21,6000000,5860,5884,6255,24,104.75,17091199.984,3369660.19
319,11,600000,5861,5878,6266,17,104.75,1820371.57,3369660.19
320,4,600000,5863,5891,6248,28,104.75,4297914.794871795,3369660.19
321,15,750000,5867,5888,6290,21,104.75,4522577.48037889,3369660.19
322,11,850000,5870,5892,6259,22,104.75,1820371.57,3369660.19
323,21,1080000,5904,5916,6239,12,104.75,17091199.984,3369660.19
