Age_Key,Age_Range
AG659,85 to 89 years
AG660,90 years and over
AG661,Total - Age
AG662,0 to 4 years
AG663,5 to 9 years
AG664,10 to 14 years
AG665,15 to 19 years
AG666,20 to 24 years
AG667,25 to 29 years
AG668,30 to 34 years
AG669,35 to 39 years
AG670,40 to 44 years
AG671,45 to 49 years
AG672,50 to 54 years
AG673,55 to 59 years
AG674,60 to 64 years
AG675,65 to 69 years
AG676,70 to 74 years
AG677,75 to 79 years
AG678,80 to 84 years
AG679,85 to 89 years
AG680,90 years and over
AG681,Total - Age
AG682,0 to 4 years
AG683,5 to 9 years
AG684,10 to 14 years
AG685,15 to 19 years
AG686,20 to 24 years
AG687,25 to 29 years
AG688,30 to 34 years
AG689,35 to 39 years
AG690,40 to 44 years
AG691,45 to 49 years
AG692,50 to 54 years
AG693,55 to 59 years
AG694,60 to 64 years
AG695,65 to 69 years
AG696,70 to 74 years
AG697,75 to 79 years
AG698,80 to 84 years
AG699,85 to 89 years
AG700,90 years and over
AG701,Total - Age
AG702,0 to 4 years
AG703,5 to 9 years
AG704,10 to 14 years
AG705,15 to 19 years
AG706,20 to 24 years
AG707,25 to 29 years
AG708,30 to 34 years
AG709,35 to 39 years
AG710,40 to 44 years
AG711,45 to 49 years
AG712,50 to 54 years
AG713,55 to 59 years
AG714,60 to 64 years
AG715,65 to 69 years
AG716,70 to 74 years
AG717,75 to 79 years
AG718,80 to 84 years
AG719,85 to 89 years
AG720,90 years and over
AG721,Total - Age
AG722,0 to 4 years
AG723,5 to 9 years
AG724,10 to 14 years
AG725,15 to 19 years
AG726,20 to 24 years
AG727,25 to 29 years
AG728,30 to 34 years
AG729,35 to 39 years
AG730,40 to 44 years
AG731,45 to 49 years
AG732,50 to 54 years
AG733,55 to 59 years
AG734,60 to 64 years
AG735,65 to 69 years
AG736,70 to 74 years
AG737,75 to 79 years
AG738,80 to 84 years
AG739,85 to 89 years
AG740,90 years and over
AG741,Total - Age
AG742,0 to 4 years
AG743,5 to 9 years
AG744,10 to 14 years
AG745,15 to 19 years
AG746,20 to 24 years
AG747,25 to 29 years
AG748,30 to 34 years
AG749,35 to 39 years
AG750,40 to 44 years
AG751,45 to 49 years
AG752,50 to 54 years
AG753,55 to 59 years
AG754,60 to 64 years
AG755,65 to 69 years
AG756,70 to 74 years
AG757,75 to 79 years
AG758,80 to 84 years
AG759,85 to 89 years
AG760,90 years and over
AG761,Total - Age
AG762,0 to 4 years
AG763,5 to 9 years
AG764,10 to 14 years
AG765,15 to 19 years
AG766,20 to 24 years
AG767,25 to 29 years
AG768,30 to 34 years
AG769,35 to 39 years
AG770,40 to 44 years
AG771,45 to 49 years
AG772,50 to 54 years
AG773,55 to 59 years
AG774,60 to 64 years
AG775,65 to 69 years
AG776,70 to 74 years
AG777,75 to 79 years
AG778,80 to 84 years
AG779,85 to 89 years
AG780,90 years and over
AG781,Total - Age
AG782,0 to 4 years
AG783,5 to 9 years
AG784,10 to 14 years
AG785,15 to 19 years
AG786,20 to 24 years
AG787,25 to 29 years
AG788,30 to 34 years
AG789,35 to 39 years
AG790,40 to 44 years
AG791,45 to 49 years
AG792,50 to 54 years
AG793,55 to 59 years
AG794,60 to 64 years
AG795,65 to 69 years
AG796,70 to 74 years
AG797,75 to 79 years
AG798,80 to 84 years
AG799,85 to 89 years
AG800,90 years and over
AG801,Total - Age
AG802,0 to 4 years
AG803,5 to 9 years
AG804,10 to 14 years
AG805,15 to 19 years
AG806,20 to 24 years
AG807,25 to 29 years
AG808,30 to 34 years
AG809,35 to 39 years
AG810,40 to 44 years
AG811,45 to 49 years
AG812,50 to 54 years
AG813,55 to 59 years
AG814,60 to 64 years
AG815,65 to 69 years
AG816,70 to 74 years
AG817,75 to 79 years
AG818,80 to 84 years
AG819,85 to 89 years
AG820,90 years and over
AG821,Total - Age
AG822,0 to 4 years
AG823,5 to 9 years
AG824,10 to 14 years
AG825,15 to 19 years
AG826,20 to 24 years
AG827,25 to 29 years
AG828,30 to 34 years
AG829,35 to 39 years
AG830,40 to 44 years
AG831,45 to 49 years
AG832,50 to 54 years
AG833,55 to 59 years
AG834,60 to 64 years
AG835,65 to 69 years
AG836,70 to 74 years
AG837,75 to 79 years
AG838,80 to 84 years
AG839,85 to 89 years
AG840,90 years and over
AG841,Total - Age
AG842,0 to 4 years
AG843,5 to 9 years
AG844,10 to 14 years
AG845,15 to 19 years
AG846,20 to 24 years
AG847,25 to 29 years
AG848,30 to 34 years
AG849,35 to 39 years
AG850,40 to 44 years
AG851,45 to 49 years
AG852,50 to 54 years
AG853,55 to 59 years
AG854,60 to 64 years
AG855,65 to 69 years
AG856,70 to 74 years
AG857,75 to 79 years
AG858,80 to 84 years
AG859,85 to 89 years
AG860,90 years and over
AG861,Total - Age
AG862,0 to 4 years
AG863,5 to 9 years
AG864,10 to 14 years
AG865,15 to 19 years
AG866,20 to 24 years
AG867,25 to 29 years
AG868,30 to 34 years
AG869,35 to 39 years
AG870,40 to 44 years
AG871,45 to 49 years
AG872,50 to 54 years
AG873,55 to 59 years
AG874,60 to 64 years
AG875,65 to 69 years
AG876,70 to 74 years
AG877,75 to 79 years
AG878,80 to 84 years
AG879,85 to 89 years
AG880,90 years and over
AG881,Total - Age
AG882,0 to 4 years
AG883,5 to 9 years
AG884,10 to 14 years
AG885,15 to 19 years
AG886,20 to 24 years
AG887,25 to 29 years
AG888,30 to 34 years
AG889,35 to 39 years
AG890,40 to 44 years
AG891,45 to 49 years
AG892,50 to 54 years
AG893,55 to 59 years
AG894,60 to 64 years
AG895,65 to 69 years
AG896,70 to 74 years
AG897,75 to 79 years
AG898,80 to 84 years
AG899,85 to 89 years
AG900,90 years and over
AG901,Total - Age
AG902,0 to 4 years
AG903,5 to 9 years
AG904,10 to 14 years
AG905,15 to 19 years
AG906,20 to 24 years
AG907,25 to 29 years
AG908,30 to 34 years
AG909,35 to 39 years
AG910,40 to 44 years
AG911,45 to 49 years
AG912,50 to 54 years
AG913,55 to 59 years
AG914,60 to 64 years
AG915,65 to 69 years
AG916,70 to 74 years
AG917,75 to 79 years
AG918,80 to 84 years
AG919,85 to 89 years
AG920,90 years and over
AG921,Total - Age
AG922,0 to 4 years
AG923,5 to 9 years
AG924,10 to 14 years
AG925,15 to 19 years
AG926,20 to 24 years
AG927,25 to 29 years
AG928,30 to 34 years
AG929,35 to 39 years
AG930,40 to 44 years
AG931,45 to 49 years
AG932,50 to 54 years
AG933,55 to 59 years
AG934,60 to 64 years
AG935,65 to 69 years
AG936,70 to 74 years
AG937,75 to 79 years
AG938,80 to 84 years
AG939,85 to 89 years
AG940,90 years and over
AG941,Total - Age
AG942,0 to 4 years
AG943,5 to 9 years
AG944,10 to 14 years
AG945,15 to 19 years
AG946,20 to 24 years
AG947,25 to 29 years
AG948,30 to 34 years
AG949,35 to 39 years
AG950,40 to 44 years
AG951,45 to 49 years
AG952,50 to 54 years
AG953,55 to 59 years
AG954,60 to 64 years
AG955,65 to 69 years
AG956,70 to 74 years
AG957,75 to 79 years
AG958,80 to 84 years
AG959,85 to 89 years
AG960,90 years and over
AG961,Total - Age
AG962,0 to 4 years
AG963,5 to 9 years
AG964,10 to 14 years
AG965,15 to 19 years
AG966,20 to 24 years
AG967,25 to 29 years
AG968,30 to 34 years
AG969,35 to 39 years
AG970,40 to 44 years
AG971,45 to 49 years
AG972,50 to 54 years
AG973,55 to 59 years
AG974,60 to 64 years
AG975,65 to 69 years
AG976,70 to 74 years
AG977,75 to 79 years
AG978,80 to 84 years
AG979,85 to 89 years
AG980,90 years and over
AG981,Total - Age
AG982,0 to 4 years
AG983,5 to 9 years
AG984,10 to 14 years
AG985,15 to 19 years
AG986,20 to 24 years
AG987,25 to 29 years
AG988,30 to 34 years
AG989,35 to 39 years
AG990,40 to 44 years
AG991,45 to 49 years
AG992,50 to 54 years
AG993,55 to 59 years
AG994,60 to 64 years
AG995,65 to 69 years
AG996,70 to 74 years
AG997,75 to 79 years
AG998,80 to 84 years
AG999,85 to 89 years
AG1000,90 years and over
AG1001,Total - Age
AG1002,0 to 4 years
AG1003,5 to 9 years
AG1004,10 to 14 years
AG1005,15 to 19 years
AG1006,20 to 24 years
AG1007,25 to 29 years
AG1008,30 to 34 years
AG1009,35 to 39 years
AG1010,40 to 44 years
