Date_Key,Date,Year,Month,Day,Quarter,WeekOfYear,DayOfWeek,DayName,IsWeekend
185,2000-04-05,2000,4,5,2,14,2,Wednesday,0
186,2000-04-06,2000,4,6,2,14,3,Thursday,0
187,2000-04-07,2000,4,7,2,14,4,Friday,0
188,2000-04-08,2000,4,8,2,14,5,Saturday,1
189,2000-04-09,2000,4,9,2,14,6,Sunday,1
190,2000-04-10,2000,4,10,2,15,0,Monday,0
191,2000-04-11,2000,4,11,2,15,1,Tuesday,0
192,2000-04-12,2000,4,12,2,15,2,Wednesday,0
193,2000-04-13,2000,4,13,2,15,3,Thursday,0
194,2000-04-14,2000,4,14,2,15,4,Friday,0
195,2000-04-15,2000,4,15,2,15,5,Saturday,1
196,2000-04-16,2000,4,16,2,15,6,Sunday,1
197,2000-04-17,2000,4,17,2,16,0,Monday,0
198,2000-04-18,2000,4,18,2,16,1,Tuesday,0
199,2000-04-19,2000,4,19,2,16,2,Wednesday,0
200,2000-04-20,2000,4,20,2,16,3,Thursday,0
201,2000-04-21,2000,4,21,2,16,4,Friday,0
202,2000-04-22,2000,4,22,2,16,5,Saturday,1
203,2000-04-23,2000,4,23,2,16,6,Sunday,1
204,2000-04-24,2000,4,24,2,17,0,Monday,0
205,2000-04-25,2000,4,25,2,17,1,Tuesday,0
206,2000-04-26,2000,4,26,2,17,2,Wednesday,0
207,2000-04-27,2000,4,27,2,17,3,Thursday,0
208,2000-04-28,2000,4,28,2,17,4,Friday,0
209,2000-04-29,2000,4,29,2,17,5,Saturday,1
210,2000-04-30,2000,4,30,2,17,6,Sunday,1
211,2000-05-01,2000,5,1,2,18,0,Monday,0
212,2000-05-02,2000,5,2,2,18,1,Tuesday,0
213,2000-05-03,2000,5,3,2,18,2,Wednesday,0
214,2000-05-04,2000,5,4,2,18,3,Thursday,0
215,2000-05-05,2000,5,5,2,18,4,Friday,0
216,2000-05-06,2000,5,6,2,18,5,Saturday,1
217,2000-05-07,2000,5,7,2,18,6,Sunday,1
218,2000-05-08,2000,5,8,2,19,0,Monday,0
219,2000-05-09,2000,5,9,2,19,1,Tuesday,0
220,2000-05-10,2000,5,10,2,19,2,Wednesday,0
221,2000-05-11,2000,5,11,2,19,3,Thursday,0
222,2000-05-12,2000,5,12,2,19,4,Friday,0
223,2000-05-13,2000,5,13,2,19,5,Saturday,1
224,2000-05-14,2000,5,14,2,19,6,Sunday,1
225,2000-05-15,2000,5,15,2,20,0,Monday,0
226,2000-05-16,2000,5,16,2,20,1,Tuesday,0
227,2000-05-17,2000,5,17,2,20,2,Wednesday,0
228,2000-05-18,2000,5,18,2,20,3,Thursday,0
229,2000-05-19,2000,5,19,2,20,4,Friday,0
230,2000-05-20,2000,5,20,2,20,5,Saturday,1
231,2000-05-21,2000,5,21,2,20,6,Sunday,1
232,2000-05-22,2000,5,22,2,21,0,Monday,0
233,2000-05-23,2000,5,23,2,21,1,Tuesday,0
234,2000-05-24,2000,5,24,2,21,2,Wednesday,0
235,2000-05-25,2000,5,25,2,21,3,Thursday,0
236,2000-05-26,2000,5,26,2,21,4,Friday,0
237,2000-05-27,2000,5,27,2,21,5,Saturday,1
238,2000-05-28,2000,5,28,2,21,6,Sunday,1
239,2000-05-29,2000,5,29,2,22,0,Monday,0
240,2000-05-30,2000,5,30,2,22,1,Tuesday,0
241,2000-05-31,2000,5,31,2,22,2,Wednesday,0
242,2000-06-01,2000,6,1,2,22,3,Thursday,0
243,2000-06-02,2000,6,2,2,22,4,Friday,0
244,2000-06-03,2000,6,3,2,22,5,Saturday,1
245,2000-06-04,2000,6,4,2,22,6,Sunday,1
246,2000-06-05,2000,6,5,2,23,0,Monday,0
247,2000-06-06,2000,6,6,2,23,1,Tuesday,0
248,2000-06-07,2000,6,7,2,23,2,Wednesday,0
249,2000-06-08,2000,6,8,2,23,3,Thursday,0
250,2000-06-09,2000,6,9,2,23,4,Friday,0
251,2000-06-10,2000,6,10,2,23,5,Saturday,1
252,2000-06-11,2000,6,11,2,23,6,Sunday,1
253,2000-06-12,2000,6,12,2,24,0,Monday,0
254,2000-06-13,2000,6,13,2,24,1,Tuesday,0
255,2000-06-14,2000,6,14,2,24,2,Wednesday,0
256,2000-06-15,2000,6,15,2,24,3,Thursday,0
257,2000-06-16,2000,6,16,2,24,4,Friday,0
