Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
21 204318 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,2183,LAKE SHORE,BLVD,W,M8V,7571339,W0337,2021-08-25,2021-09-14,,Inspection,"Proposal for interior alterations for hair salon unit 13 ""Megma Hair""",45000
21 205279 BLD,Building Additions/Alterations,Amusement Park Structure,Interior Alterations,101,EMMETT,AVE, ,###,14624748,W0531,2021-08-27,2021-11-19,,Permit Issued,Proposal for state of good repair and a new universal washroom are being added. ,310000
21 213458 BLD,Building Additions/Alterations,Club,Interior Alterations,321,SCARBOROUGH GOLF CLUB,RD, ,M1J,11702619,E2431,2021-09-16,2021-11-08,,Permit Issued,Proposal for Interior renovation of Gold and Annex Rooms at Scarborough Golf Club. The purpose of the renovation is to create one non-separated area to be used for events. The renovation includes demolition of the existing load bearing masonry wall between two rooms and construction of load bearing steel structure as per attached structural package. Existing ceiling is to be removed and new suspended ceiling constructed as per ID design. New floor and wall finishes are to be applied.,750000
21 216091 BLD,Building Additions/Alterations,Club,Interior Alterations,422,WELLINGTON,ST,W,M5V,10223180,S1032,2021-09-22,2021-10-08,,Inspection,"Interior demolition only (hazardous materials abatement), and structural repairs to stabilize existing building to get ready for future work.  Building to remain unoccupied until future permit",200000
21 222942 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,181,CARLAW,AVE, ,M4M,779907,S1435,2021-10-07,2022-01-07,,Inspection,"Interior alterations to vacant space for fitness studio ""SPIN CO"" ",100000
21 223433 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,2245,YONGE,ST, ,M4S,11272540,S1228,2021-10-07,2021-10-27,,Inspection,Proposal for interior alteratoins for cosmetic clinic 2nd floor,100000
21 232970 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1052,KINGSTON,RD, ,M4E,13968303,S1936,2021-11-01,2021-11-17,,Inspection,"PROPOSAL FOR INTERIOR ALTERATION SPA & TREATMENT SALON ""XOLO""",200000
21 245234 BLD,Building Additions/Alterations,Television Studio(no audience),Interior Alterations,660,RICHMOND,ST,W,M6J,8457299,S1028,2021-12-05,2022-02-01,,Inspection,"The proposed project involves the interior alteration of an existing 3-storey detached building,replacement of existing windows, re-cladding of the exterior, and reconstruction of existing exteriorramp and stair.",2000000
21 249872 BLD,Building Additions/Alterations,Fitness Centre,Interior Alterations,55,LAKE SHORE,BLVD,E,M5E,829580,S1038,2021-12-18,2022-06-08,,Inspection,"Interior fit up by owner for new fitness facility, swimming pool and related HVAC and PLB - Level 2 of mixed use building - Sugar Wharf Fitness Center",11000000
21 251735 BLD,New Building,Retail Mall/Plaza,New Building,145,SILVER REIGN,DR, ,###,30133626,W0130,2021-12-28,2023-12-29,,Permit Issued,Proposal to construct a new retail building shell - C1,2900000
21 251822 BLD,New Building,Retail Mall/Plaza,New Building,165,SILVER REIGN,DR, ,###,30133624,W0130,2021-12-29,2024-01-02,,Permit Issued,Proposal to construct a retail building shell - C2,2000000
21 251847 BLD,New Building,Retail Mall/Plaza,New Building,31,REXDALE,BLVD, ,M9W,14189560,W0130,2021-12-29,2024-01-09,,Inspection,Proposal to construct a 2 storey retail building shell - C3,8400000
21 251880 BLD,New Building,Retail Mall/Plaza,New Building,21,REXDALE,BLVD, ,###,30029135,W0130,2021-12-29,2024-01-03,,Permit Issued,Proposal to construct a 2 storey retail building shell - C4,4600000
22 101354 BLD,Building Additions/Alterations,"Hair, Barber and Other Salon",Interior Alterations,1080,QUEEN,ST,W,M6J,856895,S1021,2022-01-06,2022-02-09,,Permit Issued,Proposal for interior alteration for new hair saloon on main floor,10000
