Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Don Valley Village/Pleasant View,910,"1,214","1,359","1,560","1,368",2017
Dorset Park,883,989,"1,152","1,373","1,124",2017
Dovercourt/Davenport/Junction,"1,074","1,216","1,357",,"1,262",2017
Downsview,798,997,"1,169","1,368","1,124",2017
Dufferin Grove/Little Portugal,813,"1,184",,,"1,161",2017
East End-Danforth,940,"1,033","1,230",,"1,141",2017
East Gwillimbury/Newmarket,763,"1,155","1,260",,"1,192",2017
Edenbridge-Humber Valley,,"1,041","1,253",,"1,218",2017
Eglinton East,914,984,"1,136","1,399","1,127",2017
Elms-Old Rexdale,,,"1,257","1,441","1,281",2017
Englemount-Lawrence,905,"1,059","1,249","1,629","1,217",2017
Eringate-Centennial-West Deane,,,"1,203",,"1,212",2017
Etobicoke West Mall,,"1,081","1,317","1,471","1,298",2017
Flemingdon Park,,"1,038","1,236","1,403","1,169",2017
Forest Hill North,958,"1,190","1,541","2,008","1,356",2017
Forest Hill South,970,"1,168","1,577",,"1,264",2017
Georgina,,798,"1,001",,958,2017
Guildwood,,,,,,2017
Henry Farm,,"1,257","1,429","1,635","1,417",2017
High Park North/Junction,"1,064","1,388","1,808","2,552","1,504",2017
High Park-Swansea,,"1,161","1,390",,"1,224",2017
Humber Heights-Westmount,,"1,239","1,369","1,514","1,353",2017
Humewood-Cedarvale,941,"1,343","2,091","2,956","1,593",2017
Ionview,935,"1,044","1,192","1,456","1,131",2017
Islington/City Centre North,"1,223","1,261","1,428","1,506","1,359",2017
Islington/City Centre South,"1,023",,"1,341",,"1,251",2017
Keelesdale-Eglinton West,773,897,"1,046",,930,2017
Kennedy Park,709,961,"1,095","1,251","1,046",2017
Kensington-Chinatown,,,,,,2017
Kingsview Village-The Westway,"1,107","1,140","1,317","1,529","1,299",2017
Kingsway South,,,,,,2017
Lambton Baby Point,773,"1,059",,,"1,290",2017
L'Amoreaux/Steeles/Milliken,,"1,078","1,258","1,412","1,193",2017
Lansing-Westgate,872,"1,337","1,537","1,616","1,452",2017
Lawrence Park North,"1,098","1,318","1,702",,"1,459",2017
Lawrence Park South,996,"1,291","1,762",,"1,393",2017
Leaside-Bennington,897,"1,180","1,593",,"1,324",2017
Little Italy/Trinity-Bellwoods,852,,"1,487",,"1,350",2017
Long Branch,,941,"1,075",,997,2017
Malton,,864,"1,116",,"1,083",2017
Maple Leaf,,"1,092","1,263",,"1,213",2017
Markham,,"1,234","1,394","1,544","1,339",2017
Meadowvale,,"1,294","1,527","1,635","1,466",2017
Milton/Halton Hills,700,"1,036","1,202","1,594","1,139",2017
Mimico,837,"1,075","1,320","1,595","1,113",2017
Mississauga Centre/Streetsville,899,"1,189","1,373","1,614","1,347",2017
Moore Park,,"1,497","2,025",,"1,737",2017
Morningside,,"1,022","1,085","1,344","1,083",2017
Moss Park/Regent Park,878,"1,122","1,552",,"1,248",2017
Mount Dennis,,"1,123","1,243",,"1,201",2017
Mount Olive-Silverstone-Jamestown/Thistletown,,"1,112","1,352","1,467","1,371",2017
Mount Pleasant East,"1,012","1,378","1,894","2,007","1,502",2017
Mount Pleasant West,"1,100","1,377","1,762","2,097","1,428",2017
New Toronto,801,821,"1,045",,888,2017
North St. James Town,"1,041","1,269","1,390",,"1,262",2017
Oakridge,,,,,,2017
Oakville (excl. Bronte),980,"1,238","1,434","1,761","1,411",2017
Oakwood-Vaughan,802,"1,034","1,186",,"1,072",2017
O'Connor-Parkview,762,997,"1,226","1,449","1,144",2017
Old East York,713,"1,065","1,269",,"1,135",2017
Orangeville/Mono,,"1,078","1,190","1,152","1,131",2017
Parkwoods-Donalda,937,"1,225","1,473","1,638","1,444",2017
Playter Estates-Danforth,930,"1,189","1,536",,"1,228",2017
Port Credit,915,"1,104","1,255","1,551","1,193",2017
Princess-Rosethorn,,,,,,2017
Rexdale-Kipling,,887,"1,028","1,180","1,041",2017
Richmond Hill/Vaughan/King,939,"1,153","1,388","1,631","1,290",2017
Riverdale,,,"2,027",,"1,801",2017
Rockcliffe-Smythe,806,977,"1,174","1,201","1,079",2017
Roncesvalles,,,,,923,2017
Rosedale,,"1,491","1,807",,"1,567",2017
Rouge,,,"1,135","1,265","1,141",2017
Rustic/Pelmo Park/Humberlea,,"1,022","1,177",,"1,127",2017
Scarborough Village,,"1,089","1,193","1,320","1,189",2017
South Parkdale/King West,850,"1,044","1,248",,"1,034",2017
St. Andrew-Windfields,889,"1,206","1,428","1,852","1,447",2017
Stonegate-Queensway,896,"1,051","1,160",,"1,107",2017
Tam O'Shanter-Sullivan,885,"1,063","1,212","1,416","1,174",2017
The Beaches,880,"1,176","1,472",,"1,209",2017
Thorncliffe Park,915,"1,101","1,430","1,786","1,314",2017
University/Annex,"1,076","1,353","1,957",,"1,484",2017
Uxbridge,,"1,086","1,355","1,302","1,227",2017
Victoria Village,874,"1,076","1,281","1,542","1,178",2017
Waterfront Communities -The Island,,"1,883","2,805",,"2,276",2017
West Hill,,"1,027","1,202","1,378","1,213",2017
West Humber-Clairville,815,"1,038","1,153",,"1,169",2017
Westminster-Branson,943,"1,177","1,392","1,563","1,359",2017
Weston,851,"1,036","1,220",,"1,117",2017
Wexford-Maryvale,872,"1,006","1,139","1,254","1,071",2017
Whitchurch/Stouffville,,"1,116","1,167",,"1,153",2017
Willowdale East/Newtonbrook East,,"1,454","1,815","2,362","1,667",2017
Willowdale West/Newtonbrook West,,"1,216","1,396","1,609","1,342",2017
Willowridge-Martingrove-Richview,,"1,217","1,630","1,863","1,601",2017
Woburn,846,"1,017","1,174","1,280","1,140",2017
Woodbine Corridor/Greenwood-Coxwell,,,,,"1,007",2017
Woodbine-Lumsden,,"1,008",,,"1,114",2017
Wychwood,,"1,160",,,"1,168",2017
Yonge-Eglinton,"1,076","1,316","1,840",,"1,416",2017
Yonge-St. Clair,"1,110","1,358","1,735",,"1,474",2017
Yorkdale-Glen Park,,"1,033","1,233","1,235","1,137",2017
Toronto,"1,013","1,194","1,403","1,589","1,308",2017
Agincourt/Malvern,,"1,105","1,316","1,569","1,341",2018
Ajax/Pickering,,953,"1,248","1,397","1,283",2018
Alderwood,,"1,169","1,462",,"1,435",2018
Aurora,,"1,127","1,347",,"1,298",2018
Banbury-Don Mills/York Mills,,"1,163","1,335","1,643","1,286",2018
Bathurst Manor,,"1,216","1,346","1,567","1,342",2018
Bay Street Corridor,"1,615","2,013","3,114",,"2,301",2018
Bayview Village,"1,072","1,381","1,671",,"1,666",2018
Bayview Woods-Steeles/Hillcrest Village,,"1,389","1,609","1,690","1,580",2018
Bedford Park-Nortown,947,"1,125","1,459","1,912","1,277",2018
Beechborough-Greenbrook,875,"1,022","1,137",,"1,081",2018
Bendale,"1,032","1,070","1,173","1,362","1,217",2018
Birchcliffe-Cliffside,943,"1,193","1,424",,"1,301",2018
Black Creek,"1,108","1,145","1,293","1,449","1,284",2018
Bradford/West Gwillimbury/New Tecumseth,951,977,"1,181","1,436","1,127",2018
Brampton (East),893,"1,240","1,398","1,498","1,359",2018
Brampton (West),818,"1,111","1,279","1,577","1,244",2018
Briar Hill-Belgravia,864,"1,138","1,367",,"1,238",2018
Broadview North,993,"1,205","1,424","1,714","1,243",2018
Bronte,,"1,356","1,580","1,832","1,503",2018
Brookhaven-Amesbury,870,"1,062","1,271","1,515","1,207",2018
Cabbagetown-South St. James Town,995,"1,397","1,885",,"1,419",2018
Caledon,,,,,,2018
Caledonia-Fairbank,882,"1,071","1,389",,"1,197",2018
Casa Loma,"1,181","1,486","2,096","3,284","1,838",2018
Churchill Meadows/Erin Mills,887,"1,121","1,285","1,774","1,451",2018
Church-Yonge Corridor,"1,280","1,597","2,086",,"1,617",2018
Clairlea-Birchmount,955,"1,056","1,284","1,517","1,144",2018
Clanton Park,867,"1,080","1,296",,"1,172",2018
Clarkson/Lorne Park,980,"1,212","1,304","1,369","1,275",2018
Cliffcrest,,"1,160","1,265","1,424","1,238",2018
Cooksville,869,"1,225","1,414","1,611","1,329",2018
Crescent Town,878,"1,096","1,341","1,558","1,179",2018
Danforth Village-East York,805,"1,080","1,248",,"1,126",2018
Don Valley Village/Pleasant View,988,"1,219","1,384","1,590","1,392",2018
Dorset Park,889,"1,015","1,139","1,367","1,131",2018
Dovercourt/Davenport/Junction,,"1,024","1,312",,"1,196",2018
Downsview,876,"1,079","1,266","1,459","1,212",2018
Dufferin Grove/Little Portugal,888,"1,239",,,"1,192",2018
East End-Danforth,988,"1,503","1,738",,"1,553",2018
East Gwillimbury/Newmarket,759,"1,161","1,286",,"1,198",2018
Edenbridge-Humber Valley,,"1,189","1,330","1,832","1,346",2018
Eglinton East,"1,109","1,088","1,227","1,368","1,209",2018
Elms-Old Rexdale,,,"1,305","1,513","1,352",2018
Englemount-Lawrence,998,"1,063","1,320","1,734","1,300",2018
Eringate-Centennial-West Deane,,,,,,2018
Etobicoke West Mall,,"1,161","1,389","1,593","1,373",2018
Flemingdon Park,,"1,145","1,308","1,496","1,255",2018
Forest Hill North,"1,027","1,280","1,682","2,233","1,479",2018
Forest Hill South,"1,100","1,339","1,762",,"1,435",2018
Georgina,,830,"1,008",,969,2018
Guildwood,,,,"1,819","1,430",2018
Henry Farm,,"1,388","1,716","1,798","1,625",2018
High Park North/Junction,"1,135","1,459","1,820","2,467","1,559",2018
High Park-Swansea,,"1,216","1,570",,"1,302",2018
Humber Heights-Westmount,,"1,309","1,405","1,555","1,397",2018
Humewood-Cedarvale,"1,013","1,454","2,156",,"1,673",2018
Ionview,913,"1,069","1,207","1,378","1,149",2018
Islington/City Centre North,"1,420","1,409","1,567","1,662","1,508",2018
Islington/City Centre South,"1,136","1,196","1,406","1,496","1,326",2018
Keelesdale-Eglinton West,,910,945,,912,2018
Kennedy Park,719,"1,132","1,247","1,420","1,204",2018
Kensington-Chinatown,,,,,,2018
Kingsview Village-The Westway,,"1,153","1,337","1,496","1,304",2018
Kingsway South,,,,,,2018
Lambton Baby Point,759,"1,173","1,165",,"1,161",2018
L'Amoreaux/Steeles/Milliken,,"1,136","1,327","1,456","1,259",2018
Lansing-Westgate,,"1,470","1,673","1,776","1,587",2018
Lawrence Park North,"1,127","1,256","1,546",,"1,356",2018
Lawrence Park South,"1,084","1,354","2,049",,"1,437",2018
Leaside-Bennington,"1,066","1,268","1,686",,"1,359",2018
Little Italy/Trinity-Bellwoods,,,,,"1,156",2018
Long Branch,728,972,"1,153",,"1,041",2018
Malton,,917,"1,181","1,247","1,150",2018
Maple Leaf,724,"1,028","1,196",,"1,138",2018
Markham,,"1,213","1,408","1,538","1,337",2018
Meadowvale,,"1,415","1,597","1,651","1,548",2018
Milton/Halton Hills,767,"1,084","1,228","1,620","1,180",2018
Mimico,902,"1,009","1,251",,"1,104",2018
Mississauga Centre/Streetsville,947,"1,259","1,438","1,670","1,417",2018
Moore Park,"1,164","1,812","2,151",,"1,910",2018
Morningside,,"1,058","1,175","1,420","1,152",2018
Moss Park/Regent Park,975,"1,282","1,647","1,828","1,285",2018
Mount Dennis,971,"1,263","1,314",,"1,298",2018
Mount Olive-Silverstone-Jamestown/Thistletown,,"1,201","1,292","1,470","1,347",2018
Mount Pleasant East,"1,087","1,485","1,956",,"1,624",2018
Mount Pleasant West,"1,224","1,431","1,814","2,486","1,497",2018
New Toronto,805,999,"1,153",,"1,046",2018
North St. James Town,"1,082","1,260","1,439",,"1,279",2018
Oakridge,,,,,,2018
Oakville (excl. Bronte),"1,050","1,295","1,475","1,715","1,442",2018
Oakwood-Vaughan,863,"1,087","1,360",,"1,170",2018
O'Connor-Parkview,880,"1,052","1,253","1,505","1,172",2018
Old East York,854,"1,111","1,236",,"1,123",2018
Orangeville/Mono,901,"1,059","1,171","1,106","1,113",2018
Parkwoods-Donalda,899,"1,199",,"1,652","1,672",2018
Playter Estates-Danforth,973,"1,239","1,589",,"1,275",2018
Port Credit,908,"1,132","1,313","1,648","1,239",2018
Princess-Rosethorn,,,,,,2018
Rexdale-Kipling,743,963,"1,105","1,287","1,115",2018
Richmond Hill/Vaughan/King,"1,020","1,145","1,373","1,591","1,289",2018
Riverdale,853,"1,189","1,393",,"1,199",2018
Rockcliffe-Smythe,890,"1,068","1,268",,"1,159",2018
Roncesvalles,942,"1,103","1,465",,"1,186",2018
Rosedale,,,,,,2018
Rouge,,,"1,163","1,305","1,162",2018
Rustic/Pelmo Park/Humberlea,,"1,019","1,135",,"1,099",2018
Scarborough Village,931,"1,126","1,253","1,453","1,241",2018
South Parkdale/King West,925,"1,102","1,281",,"1,087",2018
St. Andrew-Windfields,905,"1,287","1,491","1,735","1,463",2018
Stonegate-Queensway,906,"1,052","1,176","1,479","1,112",2018
Tam O'Shanter-Sullivan,925,"1,120","1,273","1,482","1,233",2018
The Beaches,898,"1,241","1,335",,"1,241",2018
Thorncliffe Park,861,"1,128","1,408","1,811","1,317",2018
University/Annex,"1,171","1,430","1,956",,"1,506",2018
Uxbridge,,,,,,2018
Victoria Village,891,"1,124","1,318","1,586","1,225",2018
Waterfront Communities -The Island,,"1,841","2,256",,"1,983",2018
West Hill,"1,033","1,053","1,160","1,413","1,192",2018
West Humber-Clairville,858,"1,034","1,170","1,617","1,250",2018
Westminster-Branson,"1,023","1,301","1,504","1,666","1,468",2018
Weston,826,"1,080","1,262","1,441","1,156",2018
Wexford-Maryvale,922,"1,060","1,204","1,321","1,128",2018
Whitchurch/Stouffville,,,,,,2018
