Street_Num,Street_Name,Street_Type,Street_Direction
884,DANFORTH,AVE, 
204,BISHOP,AVE, 
1430,KINGSTON,RD, 
31,BLUEKING,CRES, 
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
2230,GERRARD,ST,E
261,WRIGHT,AVE, 
1266,DANFORTH,AVE, 
18,YORK,ST, 
4,INCHCLIFFE,CRES, 
58,FAIRFIELD,RD, 
910,DUNDAS,ST,E
382,YONGE,ST, 
382,YONGE,ST, 
325,BURNHAMTHORPE,RD, 
1540,EGLINTON,AVE,W
500,REXDALE,BLVD, 
1192,ST CLAIR,AVE,W
10,AUDUBON,CRT, 
138,BENNETT,RD, 
234,HEATH,ST,E
21,DAWSON,AVE, 
92,FOREST HILL,RD, 
433,THE KINGSWAY, , 
92,BEECHWOOD,AVE, 
1497,QUEEN,ST,W
586,OAKWOOD,AVE, 
433,RONCESVALLES,AVE, 
3401,DUFFERIN,ST, 
1831,FINCH,AVE,W
21,ANEWEN,DR, 
533,KING,ST,W
3894,BATHURST,ST, 
14,MCCLURE,CRES, 
249,AUGUSTA,AVE, 
19,PARKVIEW HILL,CRES, 
311,JARVIS,ST, 
150,KING,ST,W
415,THE WESTWAY, , 
1,COMMUNITY,CRCL, 
2974,BLOOR,ST,W
25,DE MARCO,BLVD, 
76,ALBERTUS,AVE, 
150,KING,ST,W
1056,ALBION,RD, 
100,INDIAN,RD, 
22,MAYFIELD,AVE, 
474,GLEN PARK,AVE, 
1192,ST CLAIR,AVE,W
181,RALEIGH,AVE, 
192 A,BLOOR,ST,W
16,LYNDHURST,CRT, 
