Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost
07 181927 BLD,New Houses,SFD - Detached,New Building,7,ORCHARD CREST,RD, ,M6S,69953,S0425,2007-04-30,2007-05-31,,Inspection,erect a new two storey dwelling as approved by c/o/a A23/06,700000
07 194031 BLD,New Building,Mixed Use/Res w Non Res,New Building,27,REAN,DR, ,M2K,20055823,N1729,2007-05-07,2008-11-14,,Inspection,7-storey condominium with retail space on the ground floor - Building A,24000000
07 223187 BLD,New Houses,SFD - Detached,New Building,2,ABRAMS,PL, ,M2L,481055,N1522,2007-05-28,2007-06-14,,Inspection,One storey dwelling with loft,650000
07 232457 BLD,New Houses,SFD - Detached,New Building,16,SUNCREST,DR, ,M3C,566458,N1528,2007-06-14,2007-09-13,,Inspection,2-storey dwelling,800000
07 233820 BLD,New Houses,SFD - Detached,New Building,485,DOUGLAS,AVE, ,M5M,508715,N0824,2007-06-18,2007-07-25,,Inspection,3 storey brick dwelling,550000
07 236399 BLD,New Houses,SFD - Detached,New Building,44,MEADOWCREST,RD, ,M8Z,1017949,W0325,2007-06-25,2007-07-12,,Inspection,New 2-storey SFD - detached with attached garage.,600000
07 238470 BLD,New Building,Apartment Building,New Building,450,LAKE SHORE,BLVD,W,   ,3049532,S1035,2007-06-29,2009-04-07,,Inspection,"Proposed 28 storey residential tower with 3 storey below grade parking, and GF retail. Site Plan Approval pending. Building Infor/ASHRAE required.",75000000
07 244915 BLD,New Building,Mixed Use/Res w Non Res,New Building,75,PORTLAND,ST, ,M5V,20145326,S1032,2007-07-19,2010-03-16,,Inspection,"Proposal to construct a 11 sty condo with 211 residential units, commercial on ground floor, and below grade parking.",64500000
07 247328 BLD,New Houses,SFD - Detached,New Building,516,VESTA,DR, ,M5P,878426,S1225,2007-07-25,2007-08-31,,Inspection,"Proposal to construct a new 2 sty SFD.  See PAL 07 109338, Demo 07 247309, and C.O.A - A0202/07TEY. (Also see 514 Vesta BLD & Demo 07 244088)",800000
07 248105 BLD,New Houses,SFD - Detached,New Building,149,BESSBOROUGH,DR, ,M4G,10155151,N1535,2007-07-27,2007-08-14,,Inspection,Two storey dwelling,600000
07 248106 BLD,New Houses,SFD - Detached,New Building,453,FAIRLAWN,AVE, ,M5M,513910,N0824,2007-07-27,2007-08-16,,Inspection,3-storey dwelling,736740
07 253316 BLD,New Houses,SFD - Detached,New Building,52,MISTY,CRES, ,M3B,543402,N1524,2007-08-15,2007-09-06,,Inspection,New two-storey building - SFD,799500
07 253407 BLD,New Houses,SFD - Detached,New Building,33,AVENAL,DR, ,M6C,51281,S1224,2007-08-15,2008-03-12,,Inspection,To construct a three-storey detached dwelling with an integral garage.  The existing dwelling will be demolished. See C of A and Final & Binding enclosed,1000000
07 253419 BLD,New Houses,SFD - Detached,New Building,75,TEDDINGTON PARK,AVE, ,M4N,876852,N1525,2007-08-15,2007-09-04,,Inspection,Two storey dwelling,900000
07 256821 BLD,New Houses,SFD - Detached,New Building,36,BERKINDALE,DR, ,M2L,9949883,N1522,2007-08-27,2007-09-11,,Inspection,2-storey dwelling,1004308
07 257623 BLD,New Building,Apartment Building,New Building,65,LILLIAN,ST, ,M4S,20140274,S1228,2007-08-29,2008-11-12,,Inspection,New ten storey residential condominium containing 141 units and three levels of underground parking (formerly 88 Redpath).,22500000
07 260241 BLD,New Building,Mixed Use/Res w Non Res,New Building,751,KING,ST,W,M5V,7553602,S1028,2007-09-10,2011-10-03,,Inspection,Construction permit for 2 new Mixed use residential non residential buildings with interconnected podium - 17 storey east tower and 12 storey west tower. 350 dwelling units,50000000
07 263638 BLD,New Building,Apartment Building,New Building,560,FRONT,ST,W,M5V,14199104,S1032,2007-09-20,2011-07-13,,Inspection,Permit for 2 new condominium buildings with 13 storeys facing Front Street West and 9 storeys facing Niagara Street for a total of 305 residential units with no commercial aspect within the building.NOTE: New drawings submitted Jan 21/10 to change scope of project to new condo.,35000000
07 267432 BLD,New Building,Apartment Building,New Building,336,SPADINA,RD, ,M5R,14244686,S1236,2007-10-04,2009-09-25,,Inspection,"Proposed new 14 Storey - 45 Unit apartment building with 3 levels of underground parking. See # 01-035402 STE 21, and previous BLD Cancelled. ",14800000
07 267445 BLD,New Building,Apartment Building,New Building,25,BUCHAN,CRT, ,M2J,12562212,N1727,2007-10-04,2009-12-02,,Inspection,18 Storey condo Tower 1 with two levels of underground parking garage  298 suites linked with tower 2,72100000
07 267540 BLD,New Building,Apartment Building,New Building,25,BUCHAN,CRT, ,M2J,12562212,N1727,2007-10-04,2009-12-02,,Inspection,16 Storey condo Tower 2 with two levels of underground parking garage  250 suites linked with tower 1,37300000
07 268206 BLD,New Houses,SFD - Detached,New Building,12,KEREVEN,ST, ,M5M,533377,N0824,2007-10-09,2007-10-24,,Inspection,Two storey dwelling,520000
07 271685 BLD,New Houses,SFD - Detached,New Building,55,JOICEY,BLVD, ,M5M,531841,N0824,2007-10-19,2007-11-05,,Inspection,Two storey dwelling,600000
07 274607 BLD,New Houses,SFD - Detached,New Building,52,COLERIDGE,AVE, ,M4C,19591,S1929,2007-10-30,2008-04-07,,Inspection,Permit for demolition of existing and construction of new sfd detached house - 3 storey ,2000000
07 275504 BLD,New Building,Mixed Use/Res w Non Res,New Building,403,KEELE,ST, ,M6P,9109382,S0429,2007-11-02,2009-11-09,,Inspection,New 12 and 16 storey apartment building Phase 2 containing 299 dweling units.ROLLED PLANS BIN 2192,40000000
07 276179 BLD,New Houses,SFD - Detached,New Building,158,LYTTON,BLVD, ,M4R,835418,N0829,2007-11-05,2007-11-21,,Inspection,Two storey,517800
07 278489 BLD,New Houses,SFD - Detached,New Building,153,SANDRINGHAM,DR, ,M3H,8896434,N0630,2007-11-13,2007-12-11,,Inspection,Two storey,641000
07 279249 BLD,New Building,Apartment Building,New Building,872,SHEPPARD,AVE,W,M3H,5635092,N0624,2007-11-16,2008-10-31,,Inspection,8 storey condominium 120 units.,20500000
07 279293 BLD,New Building,Mixed Use/Res w Non Res,New Building,50,YORKVILLE,AVE, ,M4W,20110438,S1128,2007-11-16,2010-02-24,,Inspection,"AMEND PREVIOUS APPLICATION - Construction of new 52 Storey Hotel and Condominium tower and 26 storey condominium tower on 5 levels of underground parking with a total of 205 units. (DESCRIPTION AMENDED DEC 28/07) - Proposal to construct a 52 sty mixed use building with hotel & condos (101 units) with 5 levels of below grade parking.  ""Four Seasons"".  Plus additional 26 storey condo tower. ",120000000
07 282125 BLD,New Building,Mixed Use/Res w Non Res,New Building,450,BREMNER,BLVD, ,   ,,S1035,2007-11-27,2010-05-28,,Inspection,"Construct a 38-storey condominium tower,  two 18-storey towers & two 9-storey buildings with 836 dwelling units & retail at grade; connected below ground with underground parking.",150000000
07 283321 BLD,New Houses,SFD - Detached,New Building,70,SANDRINGHAM,DR, ,M5M,3121870,N0821,2007-11-30,2008-01-22,,Permit Issued,Two storey dwelling,649000
07 283725 BLD,New Building,Apartment Building,New Building,18,BROWNLOW,AVE, ,M4S,778011,S1228,2007-12-03,2009-06-16,,Inspection,Consturction of new 21 storey residential condominimum and 5 3-storey town homes above 4 storey underground parking garage.,35000000
07 286357 BLD,New Building,Apartment Building,New Building,35,HOLLYWOOD,AVE, ,   ,20097580,N1826,2007-12-12,2010-07-28,,Inspection,24 Storey 352 units condominium building with four levels of undergound parking,55500000
07 286957 BLD,New Houses,SFD - Detached,New Building,320,RIVERVIEW,DR, ,M4N,556396,N1523,2007-12-13,2008-03-06,,Inspection,Two storey,4000000
07 288519 BLD,New Building,Mixed Use/Res w Non Res,New Building,33,BAY,ST, ,M5J,14676687,S1037,2010-11-02,2011-01-20,,Revision Issued,"Revision: to permit 4 additional typical floors (floors 44-47) containing 54 residentail units- 36, 16, 2 one, two and three bedroom units.  The two three bedroom units (penthouse units) are multileveled and are located at the new 51st floor of the building together with rooftop mechanical equipmentOriginal: Construct 46-storey mixed use building with 581 dwelling units complete with 5 levels of below grade parking & commercial at grade.",4000000
07 288637 BLD,New Building,Mixed Use/Res w Non Res,New Building,65,EAST LIBERTY,ST, ,   ,14678019,S1027,2012-12-14,2013-07-18,,Issuance Pending,"Revision to divide 18 residential suites into 36 smaller suites within 3 approved towers.  65 EAST LIBERTY ST (divide suite 312 into 312 and 312A, 410 into 410 and 411, 510 into 510 and 511, 610 into 610 and 611, 710 into 710 and 711).  75 EAST LIBERTY ST (divide suite 412 into 412 and 413, 418 into 418 and 418A, 512 into 512 and 513, 518 into 518 and 518A, 612 into 612 and 613, 618 into 618 and 618A, 712 into 712 and 713, 718 into 718 and 718A).  85 EAST LIBERTY ST (divide suite 316 into 316 and 316A, 413 into 413 and 414, 513 into 513 and 514, 613 into 613 and 614, 713 into 713 and 714).",2000000
07 288650 BLD,New Houses,SFD - Detached,New Building,114,RIDLEY,BLVD, ,M5M,555937,N0824,2007-12-20,2008-01-10,,Inspection,2-storey dwelling.,599000
07 288762 BLD,New Building,Mixed Use/Res w Non Res,New Building,430,KING,ST,W,M5V,14651052,S1033,2007-12-21,2012-02-13,,Inspection,New 36-storey mixed-use building. Retail at GF and above residential Condo(314 units) with six level below grade parking.,30000000
