Employment,Ward_ID,Population,Year
"Occupations in art, culture, recreation and sport",Ward 4,7025,2021
Sales and service occupations,Ward 4,13165,2021
"Trades, transport and equipment operators and related occupations",Ward 4,5010,2021
"Natural resources, agriculture and related production occupations",Ward 4,325,2021
Occupations in manufacturing and utilities,Ward 4,1075,2021
All occupations,Ward 5,55230,2021
Management occupations,Ward 5,315,2021
"Business, finance and administration occupations",Ward 5,8680,2021
Natural and applied sciences and related occupations,Ward 5,3030,2021
Health occupations,Ward 5,3885,2021
"Occupations in education, law and social, community and government services",Ward 5,5220,2021
"Occupations in art, culture, recreation and sport",Ward 5,1670,2021
Sales and service occupations,Ward 5,15095,2021
"Trades, transport and equipment operators and related occupations",Ward 5,12870,2021
"Natural resources, agriculture and related production occupations",Ward 5,545,2021
Occupations in manufacturing and utilities,Ward 5,3925,2021
All occupations,Ward 6,55870,2021
Management occupations,Ward 6,580,2021
"Business, finance and administration occupations",Ward 6,9810,2021
Natural and applied sciences and related occupations,Ward 6,4445,2021
Health occupations,Ward 6,5430,2021
"Occupations in education, law and social, community and government services",Ward 6,6285,2021
"Occupations in art, culture, recreation and sport",Ward 6,1715,2021
Sales and service occupations,Ward 6,14160,2021
"Trades, transport and equipment operators and related occupations",Ward 6,9045,2021
"Natural resources, agriculture and related production occupations",Ward 6,425,2021
Occupations in manufacturing and utilities,Ward 6,3965,2021
All occupations,Ward 7,50610,2021
Management occupations,Ward 7,140,2021
"Business, finance and administration occupations",Ward 7,7175,2021
Natural and applied sciences and related occupations,Ward 7,2520,2021
Health occupations,Ward 7,4095,2021
"Occupations in education, law and social, community and government services",Ward 7,4000,2021
"Occupations in art, culture, recreation and sport",Ward 7,900,2021
Sales and service occupations,Ward 7,14210,2021
"Trades, transport and equipment operators and related occupations",Ward 7,10635,2021
"Natural resources, agriculture and related production occupations",Ward 7,390,2021
Occupations in manufacturing and utilities,Ward 7,6540,2021
All occupations,Ward 8,59505,2021
Management occupations,Ward 8,1785,2021
"Business, finance and administration occupations",Ward 8,13560,2021
Natural and applied sciences and related occupations,Ward 8,4855,2021
Health occupations,Ward 8,5865,2021
"Occupations in education, law and social, community and government services",Ward 8,9335,2021
"Occupations in art, culture, recreation and sport",Ward 8,2630,2021
Sales and service occupations,Ward 8,13365,2021
"Trades, transport and equipment operators and related occupations",Ward 8,5945,2021
"Natural resources, agriculture and related production occupations",Ward 8,310,2021
Occupations in manufacturing and utilities,Ward 8,1860,2021
All occupations,Ward 9,61375,2021
Management occupations,Ward 9,895,2021
"Business, finance and administration occupations",Ward 9,11665,2021
Natural and applied sciences and related occupations,Ward 9,5130,2021
Health occupations,Ward 9,2825,2021
"Occupations in education, law and social, community and government services",Ward 9,8860,2021
"Occupations in art, culture, recreation and sport",Ward 9,7060,2021
Sales and service occupations,Ward 9,14430,2021
"Trades, transport and equipment operators and related occupations",Ward 9,8260,2021
"Natural resources, agriculture and related production occupations",Ward 9,470,2021
Occupations in manufacturing and utilities,Ward 9,1780,2021
All occupations,Ward 10,99770,2021
Management occupations,Ward 10,2280,2021
"Business, finance and administration occupations",Ward 10,31000,2021
Natural and applied sciences and related occupations,Ward 10,16475,2021
Health occupations,Ward 10,5215,2021
"Occupations in education, law and social, community and government services",Ward 10,11440,2021
"Occupations in art, culture, recreation and sport",Ward 10,8235,2021
Sales and service occupations,Ward 10,18925,2021
"Trades, transport and equipment operators and related occupations",Ward 10,5085,2021
"Natural resources, agriculture and related production occupations",Ward 10,245,2021
Occupations in manufacturing and utilities,Ward 10,865,2021
All occupations,Ward 11,61455,2021
Management occupations,Ward 11,1975,2021
"Business, finance and administration occupations",Ward 11,14415,2021
Natural and applied sciences and related occupations,Ward 11,7305,2021
Health occupations,Ward 11,4400,2021
"Occupations in education, law and social, community and government services",Ward 11,11065,2021
"Occupations in art, culture, recreation and sport",Ward 11,6540,2021
Sales and service occupations,Ward 11,11870,2021
"Trades, transport and equipment operators and related occupations",Ward 11,2960,2021
"Natural resources, agriculture and related production occupations",Ward 11,335,2021
Occupations in manufacturing and utilities,Ward 11,590,2021
All occupations,Ward 12,67120,2021
Management occupations,Ward 12,2115,2021
"Business, finance and administration occupations",Ward 12,16455,2021
Natural and applied sciences and related occupations,Ward 12,7595,2021
Health occupations,Ward 12,4725,2021
"Occupations in education, law and social, community and government services",Ward 12,11190,2021
"Occupations in art, culture, recreation and sport",Ward 12,5490,2021
Sales and service occupations,Ward 12,13835,2021
"Trades, transport and equipment operators and related occupations",Ward 12,4460,2021
