Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
21 223849 BLD,New Building,Apartment Building,New Building,70,DIXFIELD,DR, ,M9C,996544.0,W0225,2021-10-08,2022-05-18,,Inspection,"Proposal to construct a new 3 storey, 12 rental unit residential building with basements - Building # 2 See also BUILDING # 3, 21-231443 BLD 00 NB,  BUILDING # 4, 21-231517 BLD 00 NB",9353893,"70,DIXFIELD,DR   M9C",POINT (-79.572405 43.656046),16.0,Etobicoke Centre
21 224164 BLD,New Houses,SFD - Detached,New Building,36,AVA,RD, ,M5P,765360.0,S1225,2021-10-09,2021-11-03,,Inspection,Construct a New SFD 3-Storey Detached House with an integral garage. Existing House will be demolished. ,2000000,"36,AVA,RD   M5P",POINT (-79.421405 43.697872),12.0,Toronto-St. Paul's
21 225152 BLD,New Houses,SFD - Detached,New Building,146,ABBEYWOOD,TRL, ,M3B,480942.0,N1524,2021-10-13,2021-11-09,,Inspection,Proposed to construct a new 2 storey Single Family Dwelling with integral Garage and finished Basement. ,1000000,"146,ABBEYWOOD,TRL   M3B",POINT (-79.362066 43.750089),11.0,Don Valley West
21 225155 BLD,New Houses,SFD - Detached,New Building,34,YORK DOWNS,DR, ,M3H,8985571.0,N0630,2021-10-13,2021-11-09,,Inspection,Construction of a two storey dwelling with integral garage and finished basement,900000,"34,YORK DOWNS,DR   M3H",POINT (-79.433172 43.746625),1.0,York Centre
21 225392 BLD,New Building,Mixed Use/Res w Non Res,New Building,193,MC CAUL,ST, ,###,14200161.0,S1144,2021-10-13,2023-11-06,,Inspection,Proposal for 20 Storey residential development with 309 units and 2 retail units at grade with 3 levels underground parking and a mechanical penthouse. ,78000000,"193,MC CAUL,ST   ###",POINT (-79.392107 43.656624),3.0,University-Rosedale
21 225628 BLD,New Houses,SFD - Detached,New Building,184,POYNTZ,AVE, ,M2N,552715.0,N1827,2021-10-14,2022-01-05,,Inspection,To demolish existing dwelling and construct a new two storey dwelling ,900000,"184,POYNTZ,AVE   M2N",POINT (-79.419137 43.758249),2.0,Willowdale
21 225778 BLD,New Houses,SFD - Detached,New Building,85,PALM,DR, ,M3H,8015621.0,N0629,2021-10-14,2021-11-17,,Inspection,"Proposal to construct a new 2 storey SFD-detached dwelling with an integral garage and a finished basement. See also 21 225758 DEM, 21 171771 ZZC, 21 185136 MV and Final and Binding A0503/21 NY",900000,"85,PALM,DR   M3H",POINT (-79.443215 43.743351),1.0,York Centre
21 226052 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,175,ELM,ST, ,M5T,801775.0,S1144,2021-10-14,2021-11-15,,Inspection,Proposal to renovations of kitchens & bathrooms through out the whole building,520000,"175,ELM,ST   M5T",POINT (-79.390591 43.655964),3.0,University-Rosedale
21 226085 BLD,New Houses,SFD - Detached,New Building,29,AVA,RD, ,M5P,765354.0,S1225,2021-10-14,2021-11-22,,Inspection,Proposal to construct a new 3 storey masonry single family dwelling with a finished basement and integral garage.,1000000,"29,AVA,RD   M5P",POINT (-79.420564 43.697622),12.0,Toronto-St. Paul's
21 226178 BLD,New Houses,SFD - Detached,New Building,110,EVERDEN,RD, ,M6C,59761.0,S1223,2021-10-15,2022-02-18,,Inspection,Proposal to construct a new 3 storey single family dwelling and demolish the existing 1 storey bungalow ,1000000,"110,EVERDEN,RD   M6C",POINT (-79.435229 43.69621),12.0,Toronto-St. Paul's
21 226732 BLD,New Houses,SFD - Detached,New Building,23,VESTA,DR, ,M5P,878353.0,S1230,2021-10-16,2021-12-23,,Inspection,Construct a new two storey dwelling and demolish existing dwelling,1000000,"23,VESTA,DR   M5P",POINT (-79.416623 43.692181),12.0,Toronto-St. Paul's
21 226786 BLD,New Houses,SFD - Detached,New Building,24,YORKVIEW,DR, ,M8Z,1045712.0,W0326,2021-10-16,2021-12-10,,Inspection,Two storey dwelling with attached garage,1500000,"24,YORKVIEW,DR   M8Z",POINT (-79.507167 43.630903),15.0,Etobicoke-Lakeshore
21 228255 BLD,New Building,Mixed Use/Res w Non Res,New Building,625,SHEPPARD,AVE,E,M2K,561857.0,N1729,2021-10-20,2024-02-09,,Inspection,"Proposal to construct a new 10 storey mixed use condominium, with 2 blocks of stacked townhouses, and 2 levels of underground parking garage.This application covers the 10 storey tower, and the 2 levels of underground parking garage only. See also 20 213954 NNY 17 SA.",73300000,"625,SHEPPARD,AVE E M2K",POINT (-79.38061 43.767952),18.0,Don Valley North
21 229007 BLD,New Houses,SFD - Detached,New Building,1,ELSWICK,RD, ,M4B,22684.0,S1922,2021-10-21,2021-11-05,,Inspection,"New two storey dwelling with front porch, rear deck and interal garage.",1500000,"1,ELSWICK,RD   M4B",POINT (-79.323227 43.705116),4.0,Beaches-East York
21 230201 BLD,New Houses,SFD - Detached,New Building,46,FALLINGBROOK,RD, ,M1N,333277.0,E2033,2021-10-25,2021-11-22,,Inspection,Proposal to construct a new 2 storey single family dwelling with an integral garage. ,850000,"46,FALLINGBROOK,RD   M1N",POINT (-79.277559 43.677365),5.0,Scarborough Southwest
21 230258 BLD,New Houses,SFD - Detached,New Building,34,MOREWOOD,CRES, ,M2K,543978.0,N1725,2021-10-25,2021-11-18,,Inspection,"Proposal to demolish the existing detached one storey house and construct a new detached single family house two storey high, finished basement, and integral garage.",800000,"34,MOREWOOD,CRES   M2K",POINT (-79.380112 43.77306),18.0,Don Valley North
21 230912 BLD,New Houses,SFD - Detached,New Building,235,DUNVEGAN,RD, ,M5P,798064.0,S1226,2021-10-26,2021-12-08,,Inspection,"Proposal to construct new 3 storey Single Family Dwelling with finished basement, integral garage, deck at rear and third storey balcony",1000000,"235,DUNVEGAN,RD   M5P",POINT (-79.412581 43.699023),12.0,Toronto-St. Paul's
21 231335 BLD,New Houses,SFD - Detached,New Building,78,SOUTH KINGSWAY, , ,M6S,7632498.0,S0430,2021-10-27,2022-06-07,,Inspection,"Two storey dwelling with attached garage, front porch, rear deck and walkout",700000,"78,SOUTH KINGSWAY,    M6S",POINT (-79.47804 43.640023),13.0,Parkdale-High Park
21 231342 BLD,New Houses,SFD - Detached,New Building,80,SOUTH KINGSWAY, , ,M6S,7632500.0,S0430,2021-10-27,2022-06-02,,Inspection,"Two storey dwelling with attached garage, front porch, rear deck and walkout",700000,"80,SOUTH KINGSWAY,    M6S",POINT (-79.478119 43.640087),13.0,Parkdale-High Park
21 231443 BLD,New Building,Apartment Building,New Building,70,DIXFIELD,DR, ,M9C,996544.0,W0225,2021-10-28,2022-05-18,,Inspection,"Proposal to construct a new 3 storey, 18 rental unit residential building with basements - Building # 3 .See also BUILDING # 2:21-223849 BLD 00 NB and BUILDING #4: 21-231517 BLD 00 NB",9353893,"70,DIXFIELD,DR   M9C",POINT (-79.572405 43.656046),16.0,Etobicoke Centre
21 231482 BLD,New Houses,SFD - Detached,New Building,15,GRANITE,ST, ,M3H,523100.0,N0629,2021-10-28,2021-11-25,,Inspection,New SFD by renovation (more than 50% removed). Proposal for a 2 storey SFD-detached dwelling with a finished basement. See also 21 220772 ZZC.,1000000,"15,GRANITE,ST   M3H",POINT (-79.447207 43.747192),1.0,York Centre
21 231517 BLD,New Building,Apartment Building,New Building,70,DIXFIELD,DR, ,M9C,996544.0,W0225,2021-10-28,2022-05-19,,Inspection,"Proposal to construct a new 3 storey, 12 rental unit residential building with basements - Building # 4See also 62 DIXFIELD DR - BUILDING # 2	21-223849 BLD 00 NB and 62 DIXFIELD DR - BUILDING # 3	21-231443 BLD 00 NB ",9353893,"70,DIXFIELD,DR   M9C",POINT (-79.572405 43.656046),16.0,Etobicoke Centre
21 231659 BLD,New Houses,SFD - Detached,New Building,39,DERWYN,RD, ,M4J,20868.0,S1423,2021-10-28,2021-12-20,,Inspection,"Proposal to construct a new 2 storey SFD-detached dwelling with an integral garage and a finished basement. See also 21 231644 DEM, 20 234531 ZZC, 21 111223 MV and TLAB decision 21 186144 S45 14 TLAB.",900000,"39,DERWYN,RD   M4J",POINT (-79.334019 43.695139),23.0,Toronto-Danforth
21 232326 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,1,WINGREEN,CRT, ,M3B,576813.0,N1624,2021-10-29,2021-12-02,,Inspection,"PROPOSED 2nd & 3rd FLOOR INTERIOR SUITE KITCHEN ALTERATION TO EXISTING APARMENT BUILDINGS, INCLUDING DEMOLITION OF PARTITIONS AND PLUMBING FIXTURE REPLACEMENT.  ",560000,"1,WINGREEN,CRT   M3B",POINT (-79.341619 43.738862),19.0,Don Valley East
21 232487 BLD,New Houses,SFD - Detached,New Building,18,CHATTERTON,BLVD, ,M1M,318953.0,E2027,2021-10-31,2021-11-30,,Inspection,Proposal to construct a new 2 storey single family dwelling and demolish the existing 1 storey single family dwelling,800000,"18,CHATTERTON,BLVD   M1M",POINT (-79.223977 43.736013),5.0,Scarborough Southwest
21 232518 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,2,WINGREEN,CRT, ,M3B,576814.0,N1624,2021-11-01,2021-12-02,,Inspection,"PROPOSED 2nd & 3rd FLOOR INTERIOR SUITE KITCHEN ALTERATION TO EXISTING APARMENT BUILDINGS, INCLUDING DEMOLITION OF PARTITIONS AND PLUMBING FIXTURE REPLACEMENT.  ",560000,"2,WINGREEN,CRT   M3B",POINT (-79.342025 43.739522),19.0,Don Valley East
21 232642 BLD,New Houses,SFD - Detached,New Building,119,BUDEA,CRES, ,M1R,314193.0,E2121,2021-11-01,2021-11-19,,Inspection,Proposal to construct a new 2 storey single family dwelling and demolish the existing 2 storey single family dwelling,700000,"119,BUDEA,CRES   M1R",POINT (-79.304901 43.767122),9.0,Scarborough Centre
21 233232 BLD,New Houses,SFD - Detached,New Building,12,SWEETLAND,RD, ,M9P,1035565.0,W0223,2021-11-02,2022-01-10,,Permit Issued,Proposal to construct a new two storey single family dwelling with an attached garage.,600000,"12,SWEETLAND,RD   M9P",POINT (-79.539698 43.690873),16.0,Etobicoke Centre
21 233356 BLD,Small Residential Projects,2 Unit - Semi-detached,Interior Alterations,202,MAJOR,ST, ,M5S,836755.0,S1134,2021-11-02,2021-12-17,,Inspection,"Interior alterations throughout dwelling for two units (unit 1, ground and second and unit 2, second and third)",750000,"202,MAJOR,ST   M5S",POINT (-79.405423 43.663319),3.0,University-Rosedale
21 233369 BLD,New Houses,SFD - Detached,New Building,26,DORLEN,AVE, ,M9B,996879.0,W0232,2021-11-02,2022-03-23,,Inspection,Proposal to demolish the existing house and construct a new detached single family dwelling two storey high with integral garage. ,800000,"26,DORLEN,AVE   M9B",POINT (-79.556534 43.654869),16.0,Etobicoke Centre
21 234993 BLD,Building Additions/Alterations,Multiple Unit Building,Interior Alterations,10,BELLAIR,ST, ,M5R,8408482.0,S1128,2021-11-06,2021-11-23,,Inspection,Proposal for interior alterations to exisitng mixed use building,1000000,"10,BELLAIR,ST   M5R",POINT (-79.390982 43.669886),3.0,University-Rosedale
21 235250 BLD,New Building,Mixed Use/Res w Non Res,New Building,4569,KINGSTON,RD, ,M1E,2215216.0,E2533,2021-11-08,2024-01-18,,Permit Issued,Proposal to construct new 11 storey residential condominium with 3 level underground parking,35000000,"4569,KINGSTON,RD   M1E",POINT (-79.184436 43.772846),6.0,Scarborough-Rouge Park
21 235397 BLD,New Houses,SFD - Detached,New Building,35,FELBRIGG,AVE, ,M5M,514854.0,N0824,2021-11-08,2022-04-28,,Inspection,Proposal to demolish the existing house and construct a new detached single family dwelling with two storey and an integral garage.,700000,"35,FELBRIGG,AVE   M5M",POINT (-79.412114 43.735509),17.0,Eglinton-Lawrence
21 235715 BLD,New Houses,SFD - Detached,New Building,31,COLERIDGE,AVE, ,M4C,19569.0,S1929,2021-11-09,2022-02-23,,Inspection,To demolish existing dwelling and construct a new three storey  dwelling.,800000,"31,COLERIDGE,AVE   M4C",POINT (-79.312223 43.687916),4.0,Beaches-East York
21 235853 BLD,New Houses,SFD - Detached,New Building,40,THELMA,AVE, ,M4V,877032.0,S1231,2021-11-09,2022-01-11,,Inspection,"Proposal to construct a new 3 storey single family dwelling with integral garage and finished basement, front porch and rear deck",1000000,"40,THELMA,AVE   M4V",POINT (-79.411053 43.690059),12.0,Toronto-St. Paul's
21 236156 BLD,New Houses,SFD - Detached,New Building,183,BELLAMY,RD,N,M1J,305884.0,E2429,2021-11-09,2022-09-21,,Permit Issued,"Proposal to demolish the existing house and construct a new detached single family dwelling two storey high, integral garage, and second dwelling in the basement.   ",600000,"183,BELLAMY,RD N M1J",POINT (-79.230098 43.745388),8.0,Scarborough-Guildwood
21 236350 BLD,New Houses,SFD - Detached,New Building,363,BEDFORD PARK,AVE, ,M5M,7102944.0,N0824,2021-11-10,2021-12-06,,Inspection,Proposal to construct a new two storey dwelling with an integral garage,1000000,"363,BEDFORD PARK,AVE   M5M",POINT (-79.417724 43.724088),17.0,Eglinton-Lawrence
21 236488 BLD,New Houses,SFD - Detached,New Building,68,THE BRIDLE,PATH, ,M3B,14203323.0,N1524,2021-11-10,2022-05-30,,Inspection,Construct a new two storey SFD-Detached,20000000,"68,THE BRIDLE,PATH   M3B",POINT (-79.366999 43.735862),11.0,Don Valley West
21 236499 BLD,New Houses,SFD - Detached,New Building,8,REVCOE,DR, ,M2M,7306531.0,N1823,2021-11-10,2022-01-19,,Inspection,"New two storey dwelling with finished basement, front porch and rear deck. ",600000,"8,REVCOE,DR   M2M",POINT (-79.408393 43.786218),2.0,Willowdale
21 237334 BLD,New Houses,SFD - Detached,New Building,5,MCNAB,BLVD, ,M1M,361842.0,E2037,2021-11-12,2022-04-07,,Inspection,"Demolish existing dwelling and construct a new two storey dwelling with finished basement, basement walkout, front porch and rear deck",750000,"5,MCNAB,BLVD   M1M",POINT (-79.225352 43.723318),5.0,Scarborough Southwest
21 237565 BLD,New Houses,SFD - Detached,New Building,535,COLDSTREAM,AVE, ,M6B,501669.0,N0827,2021-11-14,2022-01-07,,Inspection,To demolish existing dwelling and construct a new three storey dwelling,700000,"535,COLDSTREAM,AVE   M6B",POINT (-79.431857 43.714187),17.0,Eglinton-Lawrence
21 237973 BLD,Small Residential Projects,SFD - Detached,Interior Alterations,20,SASKATOON,DR, ,M9P,1030360.0,W0223,2021-11-15,2021-12-13,,Inspection,"Removal of interior load bearing walls to be replaced with beams.  Remove and replace kitchen and bathroom fixtures and millwork. Finishing of basement including new bathroom, kitchenette and additional framed rooms.",900000,"20,SASKATOON,DR   M9P",POINT (-79.536877 43.695214),16.0,Etobicoke Centre
21 238039 BLD,New Houses,SFD - Detached,New Building,80,THORNCREST,RD, ,M9A,3072767.0,W0228,2021-11-15,2022-01-10,,Inspection,Proposal to construct a new 2 storey house while keeping the attached garage.  ,1280000,"80,THORNCREST,RD   M9A",POINT (-79.543587 43.661795),16.0,Etobicoke Centre
21 238613 BLD,New Houses,SFD - Detached,New Building,139,LAKE PROMENADE, , ,M8W,7304941.0,W0334,2021-11-16,2021-12-22,,Inspection,"Demolish existing dwelling and build a three storey dwelling with finished basement with an integral garage, front landing, rear deck and walkout.",950000,"139,LAKE PROMENADE,    M8W",POINT (-79.52616 43.590206),15.0,Etobicoke-Lakeshore
21 238648 BLD,New Houses,SFD - Detached,New Building,75,RISEBROUGH,AVE, ,M2M,5070229.0,N1823,2021-11-17,2022-02-23,,Inspection,To demolish existing dwelling and construct a new two storey dwelling,800000,"75,RISEBROUGH,AVE   M2M",POINT (-79.395351 43.790544),2.0,Willowdale
21 238851 BLD,New Houses,SFD - Detached,New Building,9,CICADA,CRT, ,M3B,499608.0,N1524,2021-11-17,2022-02-25,,Inspection,To demolish existing dwelling and construct a new two storey dwelling with pool cabana and garden shed,3000000,"9,CICADA,CRT   M3B",POINT (-79.357838 43.73986),11.0,Don Valley West
21 239043 BLD,New Houses,SFD - Detached,New Building,420,LANOR,AVE, ,M8W,1014149.0,W0331,2021-11-17,2022-01-04,,Permit Issued,To demolish existing dwelling and construct a new two storey dwelling with attached garage,720000,"420,LANOR,AVE   M8W",POINT (-79.541799 43.609945),15.0,Etobicoke-Lakeshore
21 239339 BLD,New Building,Apartment Building,New Building,1100,SHEPPARD,AVE,W,M3K,11186758.0,N0623,2021-11-18,2023-03-03,,Inspection,Construct a 14 storey residential buildingm with 422 units with 4 level underground parking garage,100000000,"1100,SHEPPARD,AVE W M3K",POINT (-79.466694 43.751929),1.0,York Centre
21 239980 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,90-96,EGLINTON,AVE,E,M4P,800596.0,S1221,2021-11-20,2022-02-04,,Inspection,Construct interior alterations for tenant improvement for unit 608,763792,"90-96,EGLINTON,AVE E M4P",POINT (-79.395697 43.707511),12.0,Toronto-St. Paul's
21 240738 BLD,New Houses,SFD - Detached,New Building,12,TALLY,LANE, ,M2K,567280.0,N1725,2021-11-23,2021-12-14,,Inspection,"Construct a new 2 storey SFD w/ attached garage, finished basement, front and rear covered porches.",1361600,"12,TALLY,LANE   M2K",POINT (-79.377332 43.77683),18.0,Don Valley North
21 241062 BLD,New Building,Apartment Building,New Building,1-87,BREDONHILL,CRT, ,M6A,14188765.0,N0823,2021-11-23,2022-12-30,,Inspection,Construct a four storey stacked townhouses (18 units) - Block E - Market,3272664,"1-87,BREDONHILL,CRT   M6A",POINT (-79.444009 43.722724),17.0,Eglinton-Lawrence
21 241082 BLD,New Building,Apartment Building,New Building,1-87,BREDONHILL,CRT, ,M6A,14188765.0,N0823,2021-11-23,2023-04-04,,Inspection,Construct 3 storey stacked townhouses - Block F - TCHC,3204360,"1-87,BREDONHILL,CRT   M6A",POINT (-79.444009 43.722724),17.0,Eglinton-Lawrence
21 241238 BLD,New Houses,SFD - Detached,New Building,6,ALANMEADE,CRES, ,M9B,982094.0,W0232,2021-11-24,2022-01-12,,Inspection,"Proposal to construct a new 2 storey SFD-detached dwelling with an integral garage and a finished basement. See also 21 241229 DEM, 21 152621 ZZC, 21 181281 MV and FInal and Binding A0376/21EYK",900000,"6,ALANMEADE,CRES   M9B",POINT (-79.557948 43.654868),16.0,Etobicoke Centre
21 241532 BLD,New Houses,SFD - Detached,New Building,10,PHEASANT,LANE, ,M9A,1023806.0,W0228,2021-11-24,2021-12-21,,Inspection,"Construct a two storey dwelling with attached garage finished basement, front porch and rear porch",1828000,"10,PHEASANT,LANE   M9A",POINT (-79.536311 43.662821),16.0,Etobicoke Centre
21 241557 BLD,New Houses,SFD - Detached,New Building,198,EMPRESS,AVE, ,M2N,512534.0,N1826,2021-11-25,2022-03-18,,Inspection,Proposal to construct 3 new 2 storey single family dwellings and demolish the existing 1 storey single family dwelling - House B ,1000000,"198,EMPRESS,AVE   M2N",POINT (-79.403248 43.771587),2.0,Willowdale
21 241625 BLD,New Houses,2 Unit - Detached,New Building,71,SILVERSTONE,DR, ,M9V,10494427.0,W0123,2021-11-25,2023-01-17,,Permit Issued,"Two storey single family dwelling with a second unit in the basement, front porch and rear concrete deck.  Basement foundation walls to be retained.",550000,"71,SILVERSTONE,DR   M9V",POINT (-79.587827 43.747157),14.0,Etobicoke North
21 241674 BLD,New Houses,SFD - Detached,New Building,71,YORKVIEW,DR, ,M8Z,1045759.0,W0326,2021-11-25,2022-03-02,,Inspection,Proposal to construct a new 2 storey single family dwelling.,750000,"71,YORKVIEW,DR   M8Z",POINT (-79.51065 43.629719),15.0,Etobicoke-Lakeshore
21 241917 BLD,New Houses,2 Unit - Detached,New Building,11,GAYDON,AVE, ,M9M,519307.0,W0733,2021-11-25,2022-03-25,,Inspection,To demolish existing dwelling and construct a new two storey dwelling with secondary suite,850000,"11,GAYDON,AVE   M9M",POINT (-79.536461 43.720367),0.0,Humber River-Black Creek
21 242308 BLD,New Houses,SFD - Detached,New Building,20,GRANLEA,RD, ,M2N,523129.0,N1828,2021-11-26,2022-09-23,,Permit Issued,Construct a new three storey SFD-Detached dwelling,1000000,"20,GRANLEA,RD   M2N",POINT (-79.391107 43.765191),2.0,Willowdale
21 242367 BLD,New Houses,SFD - Detached,New Building - By Renovation,37,LAMONT,AVE, ,M9N,534671.0,W0525,2021-11-26,2022-02-02,,Inspection,Proposal to construct new two storey Single Family Dwelling ,700000,"37,LAMONT,AVE   M9N",POINT (-79.519986 43.707181),22.0,York South-Weston
21 242965 BLD,New Houses,SFD - Detached,New Building,20,VESTA,DR, ,M5P,878350.0,S1230,2021-11-29,2022-01-31,,Inspection,To demolish existing dwelling and construct a new three storey dwelling,1000000,"20,VESTA,DR   M5P",POINT (-79.41732 43.691656),12.0,Toronto-St. Paul's
21 242970 BLD,New Houses,SFD - Detached,New Building,107,RIDLEY,BLVD, ,M5M,555931.0,N0824,2021-11-29,2022-01-11,,Inspection,Proposal for a new 2 storey detached single family dwelling with covered porch in the rear. ,1200000,"107,RIDLEY,BLVD   M5M",POINT (-79.412967 43.737676),17.0,Eglinton-Lawrence
21 242971 BLD,New Houses,SFD - Detached,New Building,28,CLEMES,DR, ,###,30071756.0,E2535,2021-11-29,2022-02-14,,Inspection,Proposal to build new 2storey SFD - detached on vacant lot (Part 10),1000000,"28,CLEMES,DR   ###",POINT (-79.148714 43.781819),6.0,Scarborough-Rouge Park
21 242978 BLD,New Houses,SFD - Detached,New Building,26,CLEMES,DR, ,###,30071755.0,E2535,2021-11-29,2022-02-14,,Inspection,Proposal to construct a two-storey single family dwelling on the vacant lot (Part 9).,1000000,"26,CLEMES,DR   ###",POINT (-79.148875 43.781784),6.0,Scarborough-Rouge Park
21 243003 BLD,New Houses,SFD - Detached,New Building,2,WILMAR,RD, ,M9B,8740222.0,W0323,2021-11-29,2022-03-01,,Inspection,"Proposal to demolish existing dwelling to construct new 2 storey Single Family Dwleling with basement walkout, integral garage, and second storey balcony",800000,"2,WILMAR,RD   M9B",POINT (-79.544599 43.639489),15.0,Etobicoke-Lakeshore
21 243005 BLD,New Houses,SFD - Detached,New Building,88,FLORENCE,AVE, ,M2N,517023.0,N1827,2021-11-29,2022-01-18,,Inspection,Proposal to construct 2 new 2 storey single family dwellings and demolish the existing 2 storey single family dwelling - House B,1000000,"88,FLORENCE,AVE   M2N",POINT (-79.414603 43.757443),2.0,Willowdale
21 243462 BLD,New Houses,SFD - Detached,New Building,16,WYCLIFFE,CRES, ,M2K,577717.0,N1725,2021-11-30,2022-02-03,,Inspection,Proposal to demolish existing one-storey dwelling and construct a two-storey single dwelling. ,821596,"16,WYCLIFFE,CRES   M2K",POINT (-79.38826 43.77561),18.0,Don Valley North
21 243885 BLD,New Houses,SFD - Detached,New Building,9,CHATTERTON,BLVD, ,M1M,318946.0,E2027,2021-12-01,2021-12-16,,Inspection,Demolish existing one storey dwelling & to build two storey single family dwelling with integral garage & finished basement. Basement area: 152.00 sq.mts.,700000,"9,CHATTERTON,BLVD   M1M",POINT (-79.224695 43.735348),5.0,Scarborough Southwest
21 243941 BLD,New Houses,SFD - Detached,New Building,38,PLYMBRIDGE,CRES, ,M2P,7796389.0,N1523,2021-12-01,2022-03-24,,Inspection,"Proposal to construct a new two storey dwelling with integral garage,  finished walkout basement, elevator, patio at rear, and second storey balcony.",1500000,"38,PLYMBRIDGE,CRES   M2P",POINT (-79.399724 43.740565),11.0,Don Valley West
21 244198 BLD,New Houses,SFD - Detached,New Building,88,FLORENCE,AVE, ,M2N,517023.0,N1827,2021-12-02,2022-01-10,,Inspection,Proposal to construct 2 new 2 storey single family dwelling and demolish the existing 2 storey single family dwelling - House A,1000000,"88,FLORENCE,AVE   M2N",POINT (-79.414603 43.757443),2.0,Willowdale
21 244380 BLD,New Building,Mixed Use/Res w Non Res,New Building,700,SHEPPARD,AVE,W,M3H,9909760.0,N0624,2021-12-02,2023-01-26,,Inspection,"Construct a new ten (10) storey apartment buiding with 134 units, retail space and two (2) levels of underground parking ",30000000,"700,SHEPPARD,AVE W M3H",POINT (-79.444551 43.754535),1.0,York Centre
21 244400 BLD,New Houses,SFD - Detached,New Building,222,DUNVIEW,AVE, ,M2N,510600.0,N1825,2021-12-02,2022-01-24,,Work Not Started,"New 2-Storey Single-Family Detached House, plus Finished Basement of 124.49 m2",900000,"222,DUNVIEW,AVE   M2N",POINT (-79.400256 43.778011),2.0,Willowdale
21 244418 BLD,New Houses,SFD - Detached,New Building,198,EMPRESS,AVE, ,M2N,512534.0,N1826,2021-12-02,2022-03-21,,Inspection,Proposal to construct a new 2 storey single family dwelling and demolish existing 1 storey single family dwelling - House A,1000000,"198,EMPRESS,AVE   M2N",POINT (-79.403248 43.771587),2.0,Willowdale
21 245028 BLD,New Houses,SFD - Detached,New Building,34,WESTGLEN,CRES, ,M9B,1043180.0,W0232,2021-12-04,2022-03-02,,Inspection,Proposal for a new 2 storey single family detached dwelling with an attached garage and a small ancillary structure in the rear yard.,1350000,"34,WESTGLEN,CRES   M9B",POINT (-79.553623 43.649708),16.0,Etobicoke Centre
21 245356 BLD,New Houses,SFD - Detached,New Building,198,EMPRESS,AVE, ,M2N,512534.0,N1826,2021-12-06,2022-03-18,,Inspection,Proposal to construct a new 2 storey single family dwelling and demolish existing 1 storey single family dwelling - House C,1000000,"198,EMPRESS,AVE   M2N",POINT (-79.403248 43.771587),2.0,Willowdale
21 245530 BLD,New Houses,SFD - Detached,New Building,33,BELLEHAVEN,CRES, ,M1M,306370.0,E2027,2021-12-06,2021-12-17,,Permit Issued,"Proposal to demolish existing dwelling to construct new 2 storey Single Family Dwelling with 2 attached car garage, finished basement with walkout, 2 second storey balconies",795000,"33,BELLEHAVEN,CRES   M1M",POINT (-79.218206 43.72919),5.0,Scarborough Southwest
21 246017 BLD,New Houses,SFD - Detached,New Building,413,THE KINGSWAY, , ,M9A,1036854.0,W0229,2021-12-07,2022-03-07,,Inspection,"Proposal to construct a new 3 storey wood frame/ stone residence with front and rear porches, third floor terrace, rear basement walk out, finished basement and cabana,",1850000,"413,THE KINGSWAY,    M9A",POINT (-79.528947 43.667912),16.0,Etobicoke Centre
21 246085 BLD,New Building,Mixed Use/Res w Non Res,New Building,250,CHURCH,ST, ,M5B,783028.0,S1332,2021-12-07,2023-07-13,,Inspection,Proposal to construct a new 52 storey mixed-use building with 4 levels of below grade parking. ,100000000,"250,CHURCH,ST   M5B",POINT (-79.377287 43.65605),21.0,Toronto Centre
21 246222 BLD,New Houses,SFD - Detached,New Building,58,SUMNER HEIGHTS,DR, ,M2K,566411.0,N1725,2021-12-08,2021-12-21,,Inspection,"Proposal to construct new two storey Single Family Dwelling with 3-car attached garage, finished basement with walkout and rear deck",750000,"58,SUMNER HEIGHTS,DR   M2K",POINT (-79.385715 43.779085),18.0,Don Valley North
21 246313 BLD,New Building,Mixed Use/Res w Non Res,New Building,10,PRINCE ARTHUR,AVE, ,M5R,7974518.0,S1127,2021-12-08,2023-08-01,,Permit Issued,Proposed 7 storey mixed-use building with commercial on ground and 2 levels of underground  garage; including a renovation to a re-located existing 2 storey heritage building on site.,44000000,"10,PRINCE ARTHUR,AVE   M5R",POINT (-79.395633 43.669955),3.0,University-Rosedale
21 247540 BLD,New Houses,SFD - Detached,New Building,66,LARABEE,CRES, ,M3A,535077.0,N1624,2021-12-12,2022-01-24,,Inspection,"Two storey dwelling with a finished basement, front porch and two rear decks.",900000,"66,LARABEE,CRES   M3A",POINT (-79.336413 43.753842),19.0,Don Valley East
21 247582 BLD,New Houses,SFD - Detached,New Building,14,BALSAM,AVE, ,M4E,4050636.0,S1942,2021-12-12,2022-03-08,,Inspection,To demolish existing dwelling and construct a new three storey dwelling - Part 2,1000000,"14,BALSAM,AVE   M4E",POINT (-79.289304 43.669835),4.0,Beaches-East York
