Permit_Num,Permit_Type,Structure_Type,Work,Street_Num,Street_Name,Street_Type,Street_Direction,Postal,Geo_Id,Ward_Grid,Application_Date,Issued_Date,Completed_Date,Status,Description,Est_Const_Cost,Address,Coordinates,Ward_Index,Ward
03 128337 BLD,Residential Building Permit,Apartment Building,New Building,2088,LAWRENCE,AVE,W,M9N,11743026.0,W0524,2003-04-30,2005-02-03,,Inspection,To construct new 11 storey ( 136 residential units & 5 retail units on main floor ) with 2 levels underground parking garages.,12000000,"2088,LAWRENCE,AVE W M9N",POINT (-79.518566 43.699959),22.0,York South-Weston
03 143894 BLD,Residential Building Permit,SFD - Detached,New Building,43,RIVERSIDE,CRES, ,M6S,3370070.0,S0430,2003-06-11,2004-02-23,,Inspection,Construct new SFD detached house (3 storey).,600000,"43,RIVERSIDE,CRES   M6S",POINT (-79.4841 43.641664),13.0,Parkdale-High Park
03 148194 BLD,Residential Building Permit,Apartment Building,New Building,30,FONTENAY,CRT, ,M9A,1001678.0,W0230,2003-06-23,2005-01-20,,Inspection,Infill development.  Construct a 17 storey  residential  ( condominium ) apartment building with two levels of underground parking and surface parking areas on a site with 2 existing apartment buildings.  ( 155 units ),21000000,"30,FONTENAY,CRT   M9A",POINT (-79.512456 43.683266),16.0,Etobicoke Centre
03 154733 BLD,Residential Building Permit,Apartment Building,New Building,2845,BLOOR,ST,W,M8X,14607606.0,W0327,2003-07-10,2004-08-05,,Inspection,Eight storey new condominium apartment building with underground garage.,20000000,"2845,BLOOR,ST W M8X",POINT (-79.499558 43.649239),15.0,Etobicoke-Lakeshore
03 156850 BLD,Residential Building Permit,Apartment Building,New Building,1005,KING,ST,W,M6K,20052148.0,S1027,2003-07-16,2004-11-26,,Inspection,Construct new 15 storey Apartment Building (Phase 1-317 Units; Application for Phase two to follow...).  *Site Plan Approval #201088*,30000000,"1005,KING,ST W M6K",POINT (-79.414406 43.641242),24.0,Spadina-Fort York
03 158073 BLD,Residential Building Permit,SFD - Detached,New Building,3,HEDGEWOOD,RD, ,M2L,526025.0,N1523,2003-07-18,2004-05-11,,Inspection,New two storey dwelling and Demo,762000,"3,HEDGEWOOD,RD   M2L",POINT (-79.396594 43.741958),11.0,Don Valley West
03 162717 BLD,Residential Building Permit,SFD - Detached,New Building,12,PAGE,AVE, ,M2K,548385.0,N1725,2003-07-31,2003-11-24,,Inspection,New single family dwelling and demo.,526060,"12,PAGE,AVE   M2K",POINT (-79.381625 43.780345),18.0,Don Valley North
03 163973 BLD,Residential Building Permit,SFD - Detached,New Building,18,NORTH,DR, ,M9A,7794127.0,W0230,2003-08-06,2003-09-26,,Inspection,CONSTRUCT NEW TWO STOREY SINGLE FAMILY DWELLING WITH ATTACHED GARAGE AND ENCLOSED POOL,1253960,"18,NORTH,DR   M9A",POINT (-79.516032 43.675628),16.0,Etobicoke Centre
03 164449 BLD,Residential Building Permit,SFD - Detached,New Building,289,KINGSDALE,AVE, ,M2N,10071724.0,N1826,2003-08-07,2003-08-26,,Inspection,To construct a two storey new building and demolition.,600000,"289,KINGSDALE,AVE   M2N",POINT (-79.395891 43.773763),2.0,Willowdale
03 171520 BLD,Residential Building Permit,Apartment Building,New Building,3792,BATHURST,ST, ,###,,N0629,2003-09-03,2004-06-01,,Inspection,New 8 storey residential building with 2 levels of underground parking for superstructural for building C.,15000000,"3792,BATHURST,ST   ###",POINT (-79.434476 43.738795),1.0,York Centre
03 178279 BLD,Residential Building Permit,Apartment Building,New Building,27,BALES,AVE, ,###,,N1828,2003-09-24,2004-08-27,,Inspection,Superstructure for 23 storey residential  building with common 3 levels of under ground  parking  for building  A . Phase 1.,28765000,"27,BALES,AVE   ###",POINT (-79.409026 43.75906),2.0,Willowdale
03 178288 BLD,Residential Building Permit,Apartment Building,New Building,27,BALES,AVE, ,###,,N1828,2003-09-24,2004-08-27,,Inspection,Superstructure for 23 storey residential building with common  3 levels of under ground parking for building B. Phase 1,28765000,"27,BALES,AVE   ###",POINT (-79.409026 43.75906),2.0,Willowdale
03 185432 BLD,Residential Building Permit,SFD - Detached,New Building,5,THE BRIDLE,PATH, ,M2L,11541621.0,N1524,2003-10-14,2003-10-31,,Inspection,To construct a two storey single family home.,805300,"5,THE BRIDLE,PATH   M2L",POINT (-79.38094 43.738558),11.0,Don Valley West
03 190677 BLD,Residential Building Permit,SFD - Detached,New Building,88,POST,RD, ,M3B,552562.0,N1524,2003-11-03,2004-05-31,,Inspection,To construct a new home.,631720,"88,POST,RD   M3B",POINT (-79.369319 43.739063),11.0,Don Valley West
03 190802 BLD,Small Residential Projects,SFD - Semi-Detached,Interior Alterations,369,KEEWATIN,AVE, ,M4P,826834.0,N1526,2003-11-04,2003-11-04,,Inspection, Make interior alterations to existing semi-detached house.,2500000,"369,KEEWATIN,AVE   M4P",POINT (-79.388273 43.714406),11.0,Don Valley West
03 197022 BLD,Residential Building Permit,Apartment Building,New Building,2286,QUEEN,ST,E,M4E,20078275.0,S1940,2003-11-28,2004-11-10,,Inspection,Construct a new 7 unit residential building.  Existing:  vacant land (auto service station to be demolished).  Proposed:  Rowhouses.,2200000,"2286,QUEEN,ST E M4E",POINT (-79.284851 43.673345),4.0,Beaches-East York
03 197684 BLD,Residential Building Permit,Multiple Unit Building,New Building,1530,WESTON,RD, ,M9N,8313072.0,W0531,2003-12-02,2004-11-25,,Inspection,Proposed 6 unit block of townhomes (condominiums.)BLOCK 1LEAD FILE,2500000,"1530,WESTON,RD   M9N",POINT (-79.505659 43.693761),22.0,York South-Weston
03 197997 BLD,Residential Building Permit,Multiple Unit Building,New Building,1530,WESTON,RD, ,M9N,8313072.0,W0531,2003-12-03,2004-11-25,,Inspection,Proposed 10 unit block of townhomes (condominiums.)BLOCK 3LEAD FILE: 03-197684Fees under lead file.,2500000,"1530,WESTON,RD   M9N",POINT (-79.505659 43.693761),22.0,York South-Weston
03 197998 BLD,Residential Building Permit,Multiple Unit Building,New Building,1530,WESTON,RD, ,M9N,8313072.0,W0531,2003-12-03,2004-11-25,,Inspection,Proposed 18 unit block of townhomes (condominiums.)BLOCK 2LEAD FILE: 03-197684Fees under lead file.,2500000,"1530,WESTON,RD   M9N",POINT (-79.505659 43.693761),22.0,York South-Weston
03 202646 BLD,Residential Building Permit,Apartment Building,New Building,18,KENASTON,GDNS, ,M2K,14607955.0,N1729,2003-12-23,2005-03-01,,Inspection,"20 storey residential building with 232 dwelling units and 3 storeys of underground parking - ""Rockefeller"".",31000000,"18,KENASTON,GDNS   M2K",POINT (-79.386148 43.76582),18.0,Don Valley North
04 102867 BLD,Residential Building Permit,Apartment Building,New Building,1375,DUPONT,ST, ,M6H,798723.0,S0930,2004-01-15,2004-12-10,,Inspection,Building permit for a new 7-storey Condominium.existing - vacantproposed -  res. condo.,10500000,"1375,DUPONT,ST   M6H",POINT (-79.446078 43.666587),20.0,Davenport
04 104421 BLD,Residential Building Permit,Apartment Building,New Building,1,IBMS OLD WARD 06, , ,###,,N0681,2004-01-22,2009-03-04,,Permit Issued,Proposed new 22 storey residential condominium.,32000000,"1,IBMS OLD WARD 06,    ###",POINT (-79.445911 43.662214),20.0,Davenport
04 109133 BLD,Residential Building Permit,Apartment Building,New Building,1005,KING,ST,W,M6K,20052148.0,S1027,2004-02-13,2005-06-07,,Inspection,"New 9 storey reinforced concrete building with precast and aluminum glazing envelope, three levels of underground parking.  existing - vacant, proposed - res. apt",25000000,"1005,KING,ST W M6K",POINT (-79.414406 43.641242),24.0,Spadina-Fort York
04 117206 BLD,Residential Building Permit,SFD - Detached,New Building,32,YORK VALLEY,CRES, ,M2P,10133179.0,N1523,2004-03-17,2004-06-23,,Inspection,New two storey detached house..,555000,"32,YORK VALLEY,CRES   M2P",POINT (-79.390021 43.740825),11.0,Don Valley West
04 118680 BLD,Residential Building Permit,SFD - Detached,New Building,40,HI MOUNT,DR, ,M2K,526358.0,N1725,2004-03-23,2004-05-07,,Inspection,To build a new house.,600000,"40,HI MOUNT,DR   M2K",POINT (-79.373583 43.777968),18.0,Don Valley North
04 119529 BLD,Residential Building Permit,SFD - Detached,New Building,355 X,HILLHURST,BLVD, ,M6B,527191.0,N0827,2004-03-25,2004-05-21,,Inspection,Proposed new SFD 2 storey,800000,"355 X,HILLHURST,BLVD   M6B",POINT (-112.202763 49.282558),,
04 120051 BLD,Non-Residential Building Permit,Parking Garage,New Building,20,BOND,AVE, ,M3B,491155.0,N1623,2004-03-26,2004-08-10,,Inspection,Underground parking garage for 32 town houses.,1000000,"20,BOND,AVE   M3B",POINT (-79.354916 43.744624),19.0,Don Valley East
04 121272 BLD,Residential Building Permit,SFD - Detached,New Building,87,VALECREST,DR, ,M9A,7974605.0,W0230,2004-03-31,2004-08-24,,Inspection,Construct a new 2-storey detached house.  See C of A decision.  Existing:  vacant land.  Proposed:  detached house.,650000,"87,VALECREST,DR   M9A",POINT (-79.520005 43.675931),16.0,Etobicoke Centre
04 125231 BLD,Non-Residential Building Permit,Parking Garage,New Building,1165,LESLIE,ST, ,M3C,12491279.0,N1626,2004-04-15,2005-02-18,,Inspection,"Proposed 2 level parking garage (1 below grade, 1 at grade)",2000000,"1165,LESLIE,ST   M3C",POINT (-79.35071 43.727983),19.0,Don Valley East
04 126377 BLD,Building Additions/Alterations,Multiple Use/Non Residential,Interior Alterations,1842,QUEEN,ST,E,M4L,20029253.0,S1937,2004-04-20,2004-07-06,,Inspection,Interior alterations to commerical/residential building including partial demolition and coversion of residential units into condo units and retail on first floor,600000,"1842,QUEEN,ST E M4L",POINT (-79.307887 43.668507),4.0,Beaches-East York
04 126995 BLD,Building Additions/Alterations,Apartment Building,Interior Alterations,71,MC CAUL,ST, ,M5T,12631096.0,S1024,2004-07-15,2004-08-03,,Inspection,Reinforce portion of the flooring on the 19th floor to hold 19 new boilers.,1700000,"71,MC CAUL,ST   M5T",POINT (-79.390714 43.652956),24.0,Spadina-Fort York
04 127287 BLD,Residential Building Permit,Apartment Building,New Building,51,LOWER SIMCOE,ST, ,M5J,14314514.0,S1036,2004-04-22,2005-12-09,,Inspection,"Construct new 17 storey, 244 suite apartment buildingTotal permit fee for Buildings A and B is $880,365.50 and water fee is $645.00.  Please see permit file 03-166252BLD for fee calculations and permit drawings/documents.",30000000,"51,LOWER SIMCOE,ST   M5J",POINT (-79.383631 43.642121),24.0,Spadina-Fort York
