Neighbourhoods,Bachelor,1 Bedroom,2 Bedroom,3 Bedroom +,Total,Year
Weston,851,1036,1220,,1117,2017
Wexford-Maryvale,872,1006,1139,1254,1071,2017
Whitchurch/Stouffville,,1116,1167,,1153,2017
Willowdale East/Newtonbrook East,,1454,1815,2362,1667,2017
Willowdale West/Newtonbrook West,,1216,1396,1609,1342,2017
Willowridge-Martingrove-Richview,,1217,1630,1863,1601,2017
Woburn,846,1017,1174,1280,1140,2017
Woodbine Corridor/Greenwood-Coxwell,,,,,1007,2017
Woodbine-Lumsden,,1008,,,1114,2017
Wychwood,,1160,,,1168,2017
Yonge-Eglinton,1076,1316,1840,,1416,2017
Yonge-St. Clair,1110,1358,1735,,1474,2017
Yorkdale-Glen Park,,1033,1233,1235,1137,2017
Toronto,1013,1194,1403,1589,1308,2017
Agincourt/Malvern,,1105,1316,1569,1341,2018
Ajax/Pickering,,953,1248,1397,1283,2018
Alderwood,,1169,1462,,1435,2018
Aurora,,1127,1347,,1298,2018
Banbury-Don Mills/York Mills,,1163,1335,1643,1286,2018
Bathurst Manor,,1216,1346,1567,1342,2018
Bay Street Corridor,1615,2013,3114,,2301,2018
Bayview Village,1072,1381,1671,,1666,2018
Bayview Woods-Steeles/Hillcrest Village,,1389,1609,1690,1580,2018
Bedford Park-Nortown,947,1125,1459,1912,1277,2018
Beechborough-Greenbrook,875,1022,1137,,1081,2018
Bendale,1032,1070,1173,1362,1217,2018
Birchcliffe-Cliffside,943,1193,1424,,1301,2018
Black Creek,1108,1145,1293,1449,1284,2018
Bradford/West Gwillimbury/New Tecumseth,951,977,1181,1436,1127,2018
Brampton (East),893,1240,1398,1498,1359,2018
Brampton (West),818,1111,1279,1577,1244,2018
Briar Hill-Belgravia,864,1138,1367,,1238,2018
Broadview North,993,1205,1424,1714,1243,2018
Bronte,,1356,1580,1832,1503,2018
Brookhaven-Amesbury,870,1062,1271,1515,1207,2018
Cabbagetown-South St. James Town,995,1397,1885,,1419,2018
Caledon,,,,,,2018
Caledonia-Fairbank,882,1071,1389,,1197,2018
Casa Loma,1181,1486,2096,3284,1838,2018
Churchill Meadows/Erin Mills,887,1121,1285,1774,1451,2018
Church-Yonge Corridor,1280,1597,2086,,1617,2018
Clairlea-Birchmount,955,1056,1284,1517,1144,2018
Clanton Park,867,1080,1296,,1172,2018
Clarkson/Lorne Park,980,1212,1304,1369,1275,2018
Cliffcrest,,1160,1265,1424,1238,2018
Cooksville,869,1225,1414,1611,1329,2018
Crescent Town,878,1096,1341,1558,1179,2018
Danforth Village-East York,805,1080,1248,,1126,2018
Don Valley Village/Pleasant View,988,1219,1384,1590,1392,2018
Dorset Park,889,1015,1139,1367,1131,2018
Dovercourt/Davenport/Junction,,1024,1312,,1196,2018
Downsview,876,1079,1266,1459,1212,2018
Dufferin Grove/Little Portugal,888,1239,,,1192,2018
East End-Danforth,988,1503,1738,,1553,2018
East Gwillimbury/Newmarket,759,1161,1286,,1198,2018
Edenbridge-Humber Valley,,1189,1330,1832,1346,2018
Eglinton East,1109,1088,1227,1368,1209,2018
Elms-Old Rexdale,,,1305,1513,1352,2018
Englemount-Lawrence,998,1063,1320,1734,1300,2018
Eringate-Centennial-West Deane,,,,,,2018
Etobicoke West Mall,,1161,1389,1593,1373,2018
Flemingdon Park,,1145,1308,1496,1255,2018
Forest Hill North,1027,1280,1682,2233,1479,2018
Forest Hill South,1100,1339,1762,,1435,2018
Georgina,,830,1008,,969,2018
Guildwood,,,,1819,1430,2018
Henry Farm,,1388,1716,1798,1625,2018
High Park North/Junction,1135,1459,1820,2467,1559,2018
High Park-Swansea,,1216,1570,,1302,2018
Humber Heights-Westmount,,1309,1405,1555,1397,2018
Humewood-Cedarvale,1013,1454,2156,,1673,2018
Ionview,913,1069,1207,1378,1149,2018
Islington/City Centre North,1420,1409,1567,1662,1508,2018
Islington/City Centre South,1136,1196,1406,1496,1326,2018
Keelesdale-Eglinton West,,910,945,,912,2018
Kennedy Park,719,1132,1247,1420,1204,2018
Kensington-Chinatown,,,,,,2018
Kingsview Village-The Westway,,1153,1337,1496,1304,2018
Kingsway South,,,,,,2018
Lambton Baby Point,759,1173,1165,,1161,2018
L'Amoreaux/Steeles/Milliken,,1136,1327,1456,1259,2018
Lansing-Westgate,,1470,1673,1776,1587,2018
Lawrence Park North,1127,1256,1546,,1356,2018
Lawrence Park South,1084,1354,2049,,1437,2018
Leaside-Bennington,1066,1268,1686,,1359,2018
Little Italy/Trinity-Bellwoods,,,,,1156,2018
Long Branch,728,972,1153,,1041,2018
Malton,,917,1181,1247,1150,2018
Maple Leaf,724,1028,1196,,1138,2018
Markham,,1213,1408,1538,1337,2018
Meadowvale,,1415,1597,1651,1548,2018
Milton/Halton Hills,767,1084,1228,1620,1180,2018
Mimico,902,1009,1251,,1104,2018
Mississauga Centre/Streetsville,947,1259,1438,1670,1417,2018
Moore Park,1164,1812,2151,,1910,2018
Morningside,,1058,1175,1420,1152,2018
Moss Park/Regent Park,975,1282,1647,1828,1285,2018
Mount Dennis,971,1263,1314,,1298,2018
Mount Olive-Silverstone-Jamestown/Thistletown,,1201,1292,1470,1347,2018
Mount Pleasant East,1087,1485,1956,,1624,2018
Mount Pleasant West,1224,1431,1814,2486,1497,2018
New Toronto,805,999,1153,,1046,2018
North St. James Town,1082,1260,1439,,1279,2018
Oakridge,,,,,,2018
Oakville (excl. Bronte),1050,1295,1475,1715,1442,2018
Oakwood-Vaughan,863,1087,1360,,1170,2018
O'Connor-Parkview,880,1052,1253,1505,1172,2018
Old East York,854,1111,1236,,1123,2018
Orangeville/Mono,901,1059,1171,1106,1113,2018
Parkwoods-Donalda,899,1199,,1652,1672,2018
Playter Estates-Danforth,973,1239,1589,,1275,2018
Port Credit,908,1132,1313,1648,1239,2018
Princess-Rosethorn,,,,,,2018
Rexdale-Kipling,743,963,1105,1287,1115,2018
Richmond Hill/Vaughan/King,1020,1145,1373,1591,1289,2018
Riverdale,853,1189,1393,,1199,2018
Rockcliffe-Smythe,890,1068,1268,,1159,2018
Roncesvalles,942,1103,1465,,1186,2018
Rosedale,,,,,,2018
Rouge,,,1163,1305,1162,2018
Rustic/Pelmo Park/Humberlea,,1019,1135,,1099,2018
Scarborough Village,931,1126,1253,1453,1241,2018
South Parkdale/King West,925,1102,1281,,1087,2018
St. Andrew-Windfields,905,1287,1491,1735,1463,2018
Stonegate-Queensway,906,1052,1176,1479,1112,2018
Tam O'Shanter-Sullivan,925,1120,1273,1482,1233,2018
The Beaches,898,1241,1335,,1241,2018
Thorncliffe Park,861,1128,1408,1811,1317,2018
University/Annex,1171,1430,1956,,1506,2018
Uxbridge,,,,,,2018
Victoria Village,891,1124,1318,1586,1225,2018
Waterfront Communities -The Island,,1841,2256,,1983,2018
West Hill,1033,1053,1160,1413,1192,2018
West Humber-Clairville,858,1034,1170,1617,1250,2018
Westminster-Branson,1023,1301,1504,1666,1468,2018
Weston,826,1080,1262,1441,1156,2018
Wexford-Maryvale,922,1060,1204,1321,1128,2018
Whitchurch/Stouffville,,,,,,2018
Willowdale East/Newtonbrook East,,1465,1861,2223,1691,2018
Willowdale West/Newtonbrook West,,1292,1492,1696,1419,2018
Willowridge-Martingrove-Richview,,1158,1558,1782,1521,2018
Woburn,916,1098,1231,1336,1201,2018
Woodbine Corridor/Greenwood-Coxwell,810,1201,,,1116,2018
Woodbine-Lumsden,,1116,,,1239,2018
Wychwood,,1196,,,,2018
Yonge-Eglinton,1088,1394,1795,,1429,2018
Yonge-St. Clair,1180,1412,1966,,1626,2018
Yorkdale-Glen Park,,1100,1276,1518,1215,2018
Toronto,1081,1261,1468,1647,1370,2018
Agincourt/Malvern,,1234,1397,1414,1352,2019
Ajax/Pickering,,982,1237,1489,1318,2019
Alderwood,,1193,1357,,1320,2019
Aurora,,1171,1371,,1338,2019
Banbury-Don Mills/York Mills,836,1266,1432,1763,1382,2019
Bathurst Manor,888,1329,1427,1599,1427,2019
Bay Street Corridor,1751,2197,3047,3571,2382,2019
Bayview Village,,1504,1793,,1831,2019
Bayview Woods-Steeles/Hillcrest Village,,,,,,2019
Bedford Park-Nortown,1000,1188,1511,2039,1354,2019
Beechborough-Greenbrook,882,1025,1243,,1124,2019
Bendale,1076,1341,1419,1576,1445,2019
Birchcliffe-Cliffside,954,1307,1517,,1398,2019
Black Creek,1089,1156,1355,1596,1348,2019
Bradford/West Gwillimbury/New Tecumseth,1087,1111,1268,1533,1235,2019
Brampton (East),,1437,1540,1585,1518,2019
Brampton (West),902,1186,1367,1581,1315,2019
Briar Hill-Belgravia,899,1310,1498,1878,1406,2019
Broadview North,1049,1254,1473,,1295,2019
Bronte,,1495,1729,,1644,2019
Brookhaven-Amesbury,889,1178,1448,2060,1406,2019
Cabbagetown-South St. James Town,1045,1486,1998,,1530,2019
Caledon,,,,,,2019
Caledonia-Fairbank,895,1096,1375,,1217,2019
Casa Loma,1259,1588,2215,3598,1966,2019
Churchill Meadows/Erin Mills,,1436,1538,1843,1604,2019
Church-Yonge Corridor,1313,1692,2118,,1672,2019
Clairlea-Birchmount,1017,1125,1324,,1174,2019
Clanton Park,980,1173,1370,,1246,2019
Clarkson/Lorne Park,1035,1279,1404,1483,1366,2019
Cliffcrest,,1179,1282,1514,1262,2019
Cooksville,987,1237,1421,1484,1335,2019
Crescent Town,951,1149,1371,1620,1236,2019
Danforth Village-East York,792,1136,1277,,1176,2019
Don Valley Village/Pleasant View,992,1417,1545,1644,1532,2019
Dorset Park,,1266,1506,,1430,2019
Dovercourt/Davenport/Junction,973,1161,1466,,1325,2019
Downsview,944,1143,1346,1511,1281,2019
Dufferin Grove/Little Portugal,1030,1423,,,1353,2019
East End-Danforth,1008,1325,1542,,1371,2019
East Gwillimbury/Newmarket,798,1343,1403,,1355,2019
Edenbridge-Humber Valley,,1323,1489,,1445,2019
Eglinton East,1283,1216,1370,1480,1349,2019
Elms-Old Rexdale,,,1466,1760,1548,2019
Englemount-Lawrence,909,1130,1320,1611,1269,2019
Eringate-Centennial-West Deane,,,1260,,1283,2019
Etobicoke West Mall,,1415,1664,1889,1653,2019
Flemingdon Park,,1189,1326,1589,1297,2019
Forest Hill North,1119,1354,1714,2058,1546,2019
Forest Hill South,1280,1508,1888,,1619,2019
Georgina,,865,1164,1369,1181,2019
Guildwood,,1285,1434,1739,1417,2019
Henry Farm,,1454,1737,1837,1666,2019
High Park North/Junction,1215,1550,2005,2942,1678,2019
High Park-Swansea,,1254,1860,,1313,2019
Humber Heights-Westmount,,,1569,,1522,2019
Humewood-Cedarvale,1060,1527,2175,3034,1727,2019
Ionview,941,1182,1369,1555,1288,2019
Islington/City Centre North,1576,1578,1712,1870,1671,2019
Islington/City Centre South,1097,1162,1424,,1320,2019
Keelesdale-Eglinton West,,974,1055,,991,2019
Kennedy Park,755,1048,1258,,1182,2019
Kensington-Chinatown,1202,1437,1907,,1539,2019
Kingsview Village-The Westway,,1354,1587,1914,1572,2019
Kingsway South,,1525,1901,,1731,2019
Lambton Baby Point,768,1169,1620,,1333,2019
L'Amoreaux/Steeles/Milliken,,1204,1359,1499,1324,2019
Lansing-Westgate,,1473,1607,1659,1549,2019
Lawrence Park North,1252,1302,1616,,1424,2019
Lawrence Park South,1123,1380,1933,,1483,2019
Leaside-Bennington,1178,1414,1994,,1547,2019
Little Italy/Trinity-Bellwoods,,,,,1340,2019
Long Branch,,1062,1209,1408,1126,2019
Malton,,928,1381,1393,1340,2019
Maple Leaf,,1252,1301,,1292,2019
Markham,1029,1373,1544,1639,1483,2019
Meadowvale,,1470,1639,1686,1590,2019
Milton/Halton Hills,834,1117,1293,1665,1239,2019
Mimico,973,1272,1393,1674,1260,2019
Mississauga Centre/Streetsville,955,1325,1482,1727,1466,2019
Moore Park,1531,1730,2418,,1939,2019
Morningside,882,1194,1311,1498,1288,2019
Moss Park/Regent Park,978,1326,1758,2046,1314,2019
Mount Dennis,1035,1251,1274,,1271,2019
Mount Olive-Silverstone-Jamestown/Thistletown,,1249,1312,1422,1342,2019
Mount Pleasant East,1220,1523,1981,,1651,2019
Mount Pleasant West,1283,1560,1978,2437,1610,2019
New Toronto,716,1036,1213,,1048,2019
North St. James Town,1079,,,,,2019
Oakridge,,1354,1665,,1427,2019
Oakville (excl. Bronte),1119,1358,1564,1972,1546,2019
Oakwood-Vaughan,994,1275,1603,,1328,2019
O'Connor-Parkview,874,1144,1397,1840,1306,2019
Old East York,909,1099,1330,,1164,2019
Orangeville/Mono,,1031,1275,1188,1160,2019
Parkwoods-Donalda,1115,1342,1541,1708,1530,2019
Playter Estates-Danforth,932,1278,1623,,1272,2019
Port Credit,1018,1208,1402,1643,1318,2019
Princess-Rosethorn,,,,,,2019
Rexdale-Kipling,734,968,1145,1385,1170,2019
Richmond Hill/Vaughan/King,1011,1211,1439,1617,1345,2019
Riverdale,,1320,,,1301,2019
Rockcliffe-Smythe,863,1015,1171,1394,1096,2019
Roncesvalles,913,1104,1426,,1185,2019
Rosedale,,1536,2118,,1846,2019
Rouge,,,1320,1503,1334,2019
Rustic/Pelmo Park/Humberlea,,,,,,2019
Scarborough Village,,1297,1439,1629,1426,2019
South Parkdale/King West,964,1212,1423,,1194,2019
St. Andrew-Windfields,1011,1357,1571,1805,1537,2019
Stonegate-Queensway,,1229,1378,,1314,2019
Tam O'Shanter-Sullivan,1063,1183,1351,1538,1304,2019
The Beaches,916,1251,1563,,1318,2019
Thorncliffe Park,982,1170,1470,1820,1367,2019
University/Annex,1264,1680,2198,,1698,2019
Uxbridge,,1102,1505,,1293,2019
Victoria Village,1068,1242,1477,1854,1371,2019
Waterfront Communities -The Island,,2023,2920,,2398,2019
West Hill,,1168,1286,1341,1268,2019
West Humber-Clairville,896,1183,1277,1681,1358,2019
Westminster-Branson,1069,1351,1540,1697,1503,2019
Weston,1062,1283,1417,1603,1342,2019
Wexford-Maryvale,1028,1151,1341,1510,1252,2019
Whitchurch/Stouffville,,,1222,,1197,2019
Willowdale East/Newtonbrook East,,1539,1916,2260,1739,2019
Willowdale West/Newtonbrook West,1132,1397,1583,1792,1512,2019
Willowridge-Martingrove-Richview,,1443,1878,2082,1855,2019
Woburn,1004,1229,1397,1448,1349,2019
Woodbine Corridor/Greenwood-Coxwell,849,1177,1427,,1107,2019
Woodbine-Lumsden,,,,,,2019
Wychwood,,1231,,,1240,2019
Yonge-Eglinton,1230,1503,2035,,1560,2019
Yonge-St. Clair,1211,1504,2058,,1743,2019
Yorkdale-Glen Park,,1147,1426,1572,1306,2019
Toronto,1142,1361,1563,1730,1465,2019
Agincourt/Malvern,,1237,1395,1589,1408,2020
Ajax/Pickering,,1198,1362,1506,1412,2020
Alderwood,,1238,1451,,1409,2020
Aurora,,1296,1543,,1492,2020
Banbury-Don Mills/York Mills,933,1465,1701,2018,1629,2020
